Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime,source_file,table_type,team_relation,processed_team_id,year,last_matchDateTime,teamRank,teamId,gamesPlayed,wins,ties,losses,points,gf,ga,gd,deductions,clean_sheet,form,next_opponent,next_homeAway,next_matchDateTime,timeStamp,seasonYear,midsizeName,teamName,athleteId,playerDisplayName,jersey,position,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
147.0,12282,19834.0,701275.0,2024-07-31 00:20:00,2242.0,63237.0,83.0,382.0,True,False,2.0,2.0,0.0,0.0,28.0,2024-08-01 01:05:32,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.0,12282,19834.0,701279.0,2024-08-06 23:30:00,3873.0,51337.0,83.0,103.0,False,True,2.0,2.0,3.0,4.0,47.0,2024-08-09 08:15:44,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,12655,740.0,704672.0,2024-08-24 17:00:00,1632.0,46448.0,83.0,93.0,True,False,2.0,1.0,0.0,0.0,28.0,2024-08-25 04:19:47,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,12655,740.0,704692.0,2024-08-31 15:00:00,1632.0,44359.0,83.0,95.0,True,False,7.0,0.0,0.0,0.0,28.0,2024-09-02 04:20:14,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,12655,740.0,704720.0,2024-09-25 19:00:00,1632.0,44407.0,83.0,2922.0,True,False,1.0,0.0,0.0,0.0,28.0,2024-09-26 04:24:31,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,12655,740.0,704753.0,2024-10-20 19:00:00,1632.0,47848.0,83.0,243.0,True,False,5.0,1.0,0.0,0.0,28.0,2024-10-21 04:33:50,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,12655,740.0,704773.0,2024-11-03 15:15:00,1632.0,48843.0,83.0,88.0,True,False,3.0,1.0,0.0,0.0,28.0,2024-11-04 22:01:35,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.0,12655,740.0,704801.0,2024-11-30 13:00:00,1632.0,43921.0,83.0,98.0,False,True,1.0,2.0,0.0,0.0,28.0,2024-12-01 05:26:59,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,12655,740.0,704822.0,2024-12-15 20:00:00,1632.0,39523.0,83.0,17534.0,False,True,0.0,1.0,0.0,0.0,28.0,2024-12-16 05:25:57,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.0,12655,740.0,704830.0,2024-12-21 20:00:00,1632.0,46249.0,83.0,1068.0,False,True,1.0,2.0,0.0,0.0,28.0,2024-12-22 05:25:19,fixtures.csv,fixtures,homeTeamId,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
