seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13231,731152,0,45307236,20',Brian Torrealba (Deportes Limache) Substitution at 20',2025-05-28 04:51:09
13231,731152,1,45307237,23',Brian Torrealba (Deportes Limache) Goal at 23',2025-05-28 04:51:09
13231,731152,2,45307240,33',Agustin Arce (Universidad de Chile) Yellow Card at 33',2025-05-28 04:51:09
13231,731152,3,45307243,39',Antonio Díaz (Universidad de Chile) Yellow Card at 39',2025-05-28 04:51:09
13231,731152,4,45307256,45',Jose Ignacio Castro (Universidad de Chile) Substitution at 45',2025-05-28 04:51:09
13231,731152,5,45307257,57',Leandro Miguel Fernandez (Universidad de Chile) Substitution at 57',2025-05-28 04:51:09
13231,731152,6,45307258,57',Rodrigo Contreras (Universidad de Chile) Substitution at 57',2025-05-28 04:51:09
13231,731152,7,45307259,57',Israel Poblete (Universidad de Chile) Substitution at 57',2025-05-28 04:51:09
13231,731152,8,45307260,57',Charles Aránguiz (Universidad de Chile) Substitution at 57',2025-05-28 04:51:09
13231,731152,9,45307263,70',Leandro Miguel Fernandez (Universidad de Chile) Yellow Card at 70',2025-05-28 04:51:09
13231,731152,10,45307264,71',Cesar Pinares (Deportes Limache) Yellow Card at 71',2025-05-28 04:51:09
13231,731152,11,45307282,83',Aldrix Jara (Deportes Limache) Substitution at 83',2025-05-29 04:49:14
13231,731152,12,45307284,83',Danilo Catalán (Deportes Limache) Substitution at 83',2025-05-28 04:51:09
13231,731152,13,45307296,88',Mario Sandoval (Deportes Limache) Substitution at 88',2025-05-28 04:51:09
13231,731152,14,45307308,89',Luis Guerra (Deportes Limache) Goal at 89',2025-05-28 04:51:09
13231,731154,0,45319634,24',Gonzalo Sosa (Ñublense) Yellow Card at 24',2025-05-28 04:51:09
13231,731154,1,45319490,26',Giovanni Campusano (Ñublense) Yellow Card at 26',2025-05-28 04:51:09
13231,731154,2,45319537,43',Joaquín Montecinos (O'Higgins) Substitution at 43',2025-05-28 04:51:09
13231,731154,3,45319701,53',Joaquín Montecinos (O'Higgins) Goal at 53',2025-05-28 04:51:09
13231,731154,4,45319768,62',Carlos Alfredo Labrin Candia (Ñublense) Yellow Card at 62',2025-05-28 04:51:09
13231,731154,5,45319792,64',Federico Mateos (Ñublense) Substitution at 64',2025-05-28 04:51:09
13231,731154,6,45319802,65',Pedro Sánchez (Ñublense) Substitution at 65',2025-05-28 04:51:09
13231,731154,7,45319859,72',Osvaldo Bosso (Ñublense) Yellow Card at 72',2025-05-28 04:51:09
13231,731154,8,45319869,74',Ivan Rozas (Ñublense) Substitution at 74',2025-05-28 04:51:09
13231,731154,9,45319870,74',Arnaldo Castillo (O'Higgins) Substitution at 74',2025-05-28 04:51:09
13231,731154,10,45319903,81',Cristián Morales (O'Higgins) Substitution at 81',2025-05-28 04:51:09
13231,731154,11,45319914,81',Diego Sanhueza (Ñublense) Substitution at 81',2025-05-28 04:51:09
13231,731154,12,45319927,81',Lucas Molina (Ñublense) Substitution at 81',2025-05-28 04:51:09
13231,731155,0,45326084,2',Marco Collao Ramos (Audax Italiano) Yellow Card at 2',2025-05-29 04:49:14
13231,731155,1,45326118,9',Benjamin Gazzolo (Huachipato) Goal at 9',2025-05-29 04:49:14
13231,731155,2,45326132,11',Brayan Garrido (Huachipato) Yellow Card at 11',2025-05-29 04:49:14
13231,731155,3,45326215,30',Germán Guiffrey (Audax Italiano) Goal at 30',2025-05-29 04:49:14
13231,731155,4,45326220,32',Michael Fuentes (Audax Italiano) Yellow Card at 32',2025-05-29 04:49:14
13231,731155,5,45326242,36',Leonardo Valencia (Audax Italiano) Yellow Card at 36',2025-05-29 04:49:14
13231,731155,6,45326252,39',Lionel Altamirano (Huachipato) Goal at 39',2025-05-29 04:49:14
13231,731155,7,45326545,54',Cris Martínez (Huachipato) Penalty - Scored at 54',2025-05-29 04:49:14
13231,731155,8,45326591,61',Paolo Guajardo (Audax Italiano) Substitution at 61',2025-05-29 04:49:14
13231,731155,9,45326598,61',Alexis González (Audax Italiano) Substitution at 61',2025-05-29 04:49:14
13231,731155,10,45326599,61',Martín Vicente Jiménez Salinas (Audax Italiano) Substitution at 61',2025-05-29 04:49:14
13231,731155,11,45326602,62',Esteban Matus (Audax Italiano) Goal at 62',2025-05-29 04:49:14
13231,731155,12,45326620,68',Rodrigo Odriozola (Huachipato) Yellow Card at 68',2025-05-29 04:49:14
13231,731155,13,45326624,69',Leandro Díaz (Huachipato) Yellow Card at 69',2025-05-29 04:49:14
13231,731155,14,45326626,73',Santiago Silva (Huachipato) Substitution at 73',2025-05-29 04:49:14
13231,731155,15,45326637,80',Maicol León (Huachipato) Substitution at 80',2025-05-29 04:49:14
13231,731155,16,45326640,80',Vicente Conelli (Huachipato) Substitution at 80',2025-05-29 04:49:14
13231,731155,17,45326641,81',Leandro Díaz (Huachipato) Red Card at 81',2025-05-29 04:49:14
13231,731155,18,45326644,83',Santiago Silva (Huachipato) Yellow Card at 83',2025-05-29 04:49:14
13231,731155,19,45326646,85',Leonardo Valencia (Audax Italiano) Penalty - Scored at 85',2025-05-29 04:49:14
13231,731155,20,45326663,90'+1',Maximiliano Gutiérrez (Huachipato) Substitution at 91',2025-05-29 04:49:14
13231,731155,21,45326670,90'+1',Nicolás Aedo (Audax Italiano) Substitution at 91',2025-05-29 04:49:14
13231,731155,22,45326671,90'+1',Jimmy Martínez (Huachipato) Substitution at 91',2025-05-29 04:49:14
13231,731155,23,45326675,90'+4',Leonardo Valencia (Audax Italiano) Penalty - Scored at 94',2025-05-29 04:49:14
13231,731155,24,45326679,90'+6',Daniel Piña (Audax Italiano) Substitution at 96',2025-05-29 04:49:14
13231,731156,0,45312192,3',Daniel Gutierrez (Colo Colo) Own Goal at 3',2025-05-29 04:49:14
13231,731156,1,45312245,7',Marcelo Correa (Colo Colo) Goal at 7',2025-05-29 04:49:14
13231,731156,2,45312432,21',Vicente Pizarro (Colo Colo) Goal at 21',2025-05-29 04:49:14
13231,731156,3,45312457,24',Sebastián Pereira (Unión Española) Yellow Card at 24',2025-05-29 04:49:14
13231,731156,4,45312466,25',Arturo Vidal (Colo Colo) Penalty - Scored at 25',2025-05-29 04:49:14
13231,731156,5,45312616,39',Daniel Gutierrez (Colo Colo) Yellow Card at 39',2025-05-29 04:49:14
13231,731156,6,45312896,45',Cristian Zavala (Colo Colo) Substitution at 45',2025-05-29 04:49:14
13231,731156,7,45312901,45',Óscar Opazo (Colo Colo) Substitution at 45',2025-05-29 04:49:14
13231,731156,8,45313057,54',Fernando Ovelar (Unión Española) Substitution at 54',2025-05-29 04:49:14
13231,731156,9,45313058,54',Bruno Jáuregui (Unión Española) Substitution at 54',2025-05-29 04:49:14
13231,731156,10,45313126,58',Claudio Aquino (Colo Colo) Penalty - Scored at 58',2025-05-29 04:49:14
13231,731156,11,45313218,66',Rodrigo Vásquez (Unión Española) Substitution at 66',2025-05-29 04:49:14
13231,731156,12,45313239,67',Víctor Méndez (Colo Colo) Substitution at 67',2025-05-29 04:49:14
13231,731156,13,45313277,72',Ariel Uribe (Unión Española) Yellow Card at 72',2025-05-29 04:49:14
13231,731156,14,45313355,79',Tomás Alarcón (Colo Colo) Substitution at 79',2025-05-29 04:49:14
13231,731156,15,45313418,84',Salomón Rodríguez (Colo Colo) Substitution at 84',2025-05-29 04:49:14
13231,731156,16,45313441,88',Víctor Méndez (Colo Colo) Yellow Card at 88',2025-05-29 04:49:14
13231,731156,17,45313442,88',Bryan Carvallo (Unión Española) Substitution at 88',2025-05-29 04:49:14
13231,731157,0,45314173,24',Ariel Martinez (Palestino) Yellow Card at 24',2025-05-28 04:51:09
13231,731157,1,45314285,39',Joe Abrigo (Palestino) Yellow Card at 39',2025-05-28 04:51:09
13231,731157,2,45314325,41',Alejandro Camargo (Coquimbo Unido) Yellow Card at 41',2025-05-28 04:51:09
13231,731157,3,45314744,45',Jason León (Palestino) Substitution at 45',2025-05-28 04:51:09
13231,731157,4,45314933,53',Sebastián Galani (Coquimbo Unido) Yellow Card at 53',2025-05-28 04:51:09
