seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13145,727692,0,45308909,4',Kasper Waarst Høgh (Bodo/Glimt) Goal at 4',2025-05-28 04:51:09
13145,727692,1,45308970,9',Patrick Berg (Bodo/Glimt) Yellow Card at 9',2025-05-28 04:51:09
13145,727692,2,45309017,18',Ole Didrik Blomberg (Bodo/Glimt) Goal at 18',2025-05-28 04:51:09
13145,727692,3,45309166,39',Ole Didrik Blomberg (Bodo/Glimt) Goal at 39',2025-05-28 04:51:09
13145,727692,4,45309339,45',Ole Christian Saeter (Rosenborg) Substitution at 45',2025-05-28 04:51:09
13145,727692,5,45309399,52',Ulrik Saltnes (Bodo/Glimt) Goal at 52',2025-05-28 04:51:09
13145,727692,6,45309458,57',Fredrik Sjøvold (Bodo/Glimt) Yellow Card at 57',2025-05-28 04:51:09
13145,727692,7,45309536,68',Sondre Auklend (Bodo/Glimt) Substitution at 68',2025-05-28 04:51:09
13145,727692,8,45309551,68',Isak Dybvik Määttä (Bodo/Glimt) Substitution at 68',2025-05-28 04:51:09
13145,727692,9,45309566,70',Emil Konradsen Ceide (Rosenborg) Yellow Card at 70',2025-05-28 04:51:09
13145,727692,10,45309599,76',Andreas Helmersen (Bodo/Glimt) Substitution at 76',2025-05-28 04:51:09
13145,727692,11,45309623,79',Moustafa Zeidan (Rosenborg) Substitution at 79',2025-05-28 04:51:09
13145,727692,12,45309683,82',Jeppe Kjaer Jensen (Bodo/Glimt) Substitution at 82',2025-05-28 04:51:09
13145,727692,13,45309684,82',Odin Bjortuft (Bodo/Glimt) Substitution at 82',2025-05-28 04:51:09
13145,727692,14,45309685,83',Isak Thorvaldsson (Rosenborg) Substitution at 83',2025-05-28 04:51:09
13145,727692,15,45309704,86',Ulrik Jenssen (Rosenborg) Substitution at 86',2025-05-28 04:51:09
13145,727694,0,45317538,17',Evangelos Patoulidis (Sandefjord) Goal at 17',2025-05-28 04:51:09
13145,727694,1,45318146,45'+1',Darrell Tibell (Sandefjord) Goal at 46',2025-05-28 04:51:09
13145,727694,2,45318301,45',Fredrik Ardraa (Stromsgodset) Substitution at 45',2025-05-28 04:51:09
13145,727694,3,45318334,49',Jakob Dunsby (Sandefjord) Goal at 49',2025-05-28 04:51:09
13145,727694,4,45318422,52',Herman Stengel (Stromsgodset) Goal at 52',2025-05-28 04:51:09
13145,727694,5,45318652,60',Jonas Therkelsen (Stromsgodset) Goal at 60',2025-05-28 04:51:09
13145,727694,6,45318705,63',Darrell Tibell (Sandefjord) Yellow Card at 63',2025-05-28 04:51:09
13145,727694,7,45318832,68',Sander Mork (Sandefjord) Yellow Card at 68',2025-05-28 04:51:09
13145,727694,8,45318952,76',Elias Jemal (Sandefjord) Substitution at 76',2025-05-28 04:51:09
13145,727694,9,45319094,81',Samuel Silalahi (Stromsgodset) Substitution at 81',2025-05-28 04:51:09
13145,727694,10,45319251,89',Loris Mettler (Sandefjord) Substitution at 89',2025-05-28 04:51:09
13145,727694,11,45319401,90'+4',Aleksander Van Der Spa (Sandefjord) Substitution at 94',2025-05-28 04:51:09
13145,727695,0,45317754,28',Martin Håheim-Elveseter (Sarpsborg FK) Yellow Card at 28',2025-05-28 04:51:09
13145,727695,1,45318033,39',Alagie Sanyang (Sarpsborg FK) Yellow Card at 39',2025-05-28 04:51:09
13145,727695,2,45318175,45'+1',David Edvardsson (Tromso) Yellow Card at 46',2025-05-28 04:51:09
13145,727695,3,45318350,45',Peter Reinhardsen (Sarpsborg FK) Substitution at 45',2025-05-28 04:51:09
13145,727695,4,45318709,63',Sander Christiansen (Sarpsborg FK) Substitution at 63',2025-05-28 04:51:09
13145,727695,5,45318756,64',Kent-Are Antonsen (Tromso) Substitution at 64',2025-05-28 04:51:09
13145,727695,6,45318757,64',Ieltsin Camões (Tromso) Substitution at 64',2025-05-31 04:51:09
13145,727695,7,45318864,70',Harald Nilsen Tangen (Sarpsborg FK) Yellow Card at 70',2025-05-28 04:51:09
13145,727695,8,45318956,74',Ieltsin Camões (Tromso) Goal at 74',2025-05-28 04:51:09
13145,727695,9,45319047,78',Yaw Paintsil (Tromso) Substitution at 78',2025-05-28 04:51:09
13145,727695,10,45319124,80',Jo Inge Berget (Sarpsborg FK) Substitution at 80',2025-05-28 04:51:09
13145,727695,11,45319146,80',Magnar Odegaard (Sarpsborg FK) Substitution at 80',2025-05-28 04:51:09
13145,727695,12,45319199,85',Daniel Braut (Tromso) Substitution at 85',2025-05-28 04:51:09
13145,727695,13,45319328,90'+1',Mike Vestergård (Sarpsborg FK) Substitution at 91',2025-05-28 04:51:09
13145,727696,0,45317482,12',Zlatko Tripic (Viking FK) Yellow Card at 12',2025-05-28 04:51:09
13145,727696,1,45317970,38',Mustapha Ubandoma (Kristiansund BK) Substitution at 38',2025-05-28 04:51:09
13145,727696,2,45318007,41',Jost Urbancic (Viking FK) Yellow Card at 41',2025-05-28 04:51:09
13145,727696,3,45318264,45',Vetle Auklend (Viking FK) Substitution at 45',2025-05-28 04:51:09
13145,727696,4,45318568,57',Edvin Austbø (Viking FK) Goal at 57',2025-05-28 04:51:09
13145,727696,5,45318631,60',Herman Haugen (Viking FK) Substitution at 60',2025-05-28 04:51:09
13145,727696,6,45318632,60',Christian Cappis (Viking FK) Substitution at 60',2025-05-28 04:51:09
13145,727696,7,45318976,75',Viljar Vevatne (Viking FK) Substitution at 75',2025-05-28 04:51:09
13145,727696,8,45319161,84',Franklin Nyenetue (Kristiansund BK) Substitution at 84',2025-05-28 04:51:09
13145,727696,9,45319191,84',Niklas Odegard (Kristiansund BK) Substitution at 84',2025-05-28 04:51:09
13145,727696,10,45319192,84',Kristoffer Askildsen (Viking FK) Substitution at 84',2025-05-28 04:51:09
13145,727697,0,45319563,6',Mads Sande (SK Brann) Yellow Card at 6',2025-05-28 04:51:09
13145,727697,1,45319654,25',Aune Heggebo (SK Brann) Yellow Card at 25',2025-05-28 04:51:09
13145,727697,2,45319665,26',Troy Nyhammer (Haugesund) Yellow Card at 26',2025-05-28 04:51:09
13145,727697,3,45319725,35',Anders Bondhus (Haugesund) Substitution at 35',2025-05-28 04:51:09
13145,727697,4,45319951,55',Mikkel Hope (Haugesund) Substitution at 55',2025-05-28 04:51:09
13145,727697,5,45319955,55',Ismael Camara (Haugesund) Substitution at 55',2025-05-28 04:51:09
13145,727697,6,45319956,55',Emil Schlichting (Haugesund) Substitution at 55',2025-05-28 04:51:09
13145,727697,7,45319961,60',Mads Sande (SK Brann) Goal at 60',2025-05-28 04:51:09
13145,727697,8,45319981,67',Denzel De Roeve (SK Brann) Substitution at 67',2025-05-28 04:51:09
13145,727697,9,45319984,67',Mads Kristian Hansen (SK Brann) Substitution at 67',2025-05-28 04:51:09
13145,727697,10,45320017,80',Ulrick Mathisen (SK Brann) Substitution at 80',2025-05-28 04:51:09
13145,727697,11,45320038,80',Rasmus Holten (SK Brann) Substitution at 80',2025-05-28 04:51:09
13145,727697,12,45320070,84',Martin Samuelsen (Haugesund) Substitution at 84',2025-05-28 04:51:09
