seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13190,732047,0,45345015,16',Leonardo Mifflin (Los Chankas) Yellow Card at 16',2025-06-02 04:55:28
13190,732047,1,45345024,18',Miguel Graneros (Alianza Atlético) Penalty - Scored at 18',2025-06-02 04:55:28
13190,732047,2,45345081,21',Isaac Camargo (Los Chankas) Goal at 21',2025-06-02 04:55:28
13190,732047,3,45345352,45'+3',Christian Vásquez (Alianza Atlético) Yellow Card at 48',2025-06-02 04:55:28
13190,732047,4,45345503,57',Alexis Cossio (Alianza Atlético) Substitution at 57',2025-06-02 04:55:28
13190,732047,5,45345530,64',Flavio Fernández (Los Chankas) Substitution at 64',2025-06-02 04:55:28
13190,732047,6,45345531,64',Pablo Bueno (Los Chankas) Substitution at 64',2025-06-02 04:55:28
13190,732047,7,45345541,66',Erick Perleche (Alianza Atlético) Yellow Card at 66',2025-06-02 04:55:28
13190,732047,8,45345553,68',Rodrigo Castro (Alianza Atlético) Substitution at 68',2025-06-02 04:55:28
13190,732047,9,45345573,69',Federico Illanes (Alianza Atlético) Substitution at 69',2025-06-02 04:55:28
13190,732047,10,45345577,69',Erick Perleche (Alianza Atlético) Goal at 69',2025-06-02 04:55:28
13190,732047,11,45345689,76',Guillermo Larios (Alianza Atlético) Yellow Card at 76',2025-06-02 04:55:28
13190,732047,12,45345718,77',Santiago González (Los Chankas) Yellow Card at 77',2025-06-02 04:55:28
13190,732047,13,45345719,82',Kevin Sánchez (Los Chankas) Substitution at 82',2025-06-02 04:55:28
13190,732047,14,45345720,83',Ángelo Pizzorno (Los Chankas) Substitution at 83',2025-06-02 04:55:28
13190,732047,15,45345731,84',Jimmy Pérez (Alianza Atlético) Substitution at 84',2025-06-02 04:55:28
13190,732047,16,45345732,84',Mauro Pérez (Alianza Atlético) Substitution at 84',2025-06-02 04:55:28
13190,732047,17,45345802,90',Josue Tunqui (Los Chankas) Substitution at 90',2025-06-02 04:55:28
