seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13166,2025,ARG.2,236,3038,6,3,0,0,3,0,0,0,0,0,0,0,0,0,4,2025-06-03 04:46:31
13166,2025,ARG.2,2,15039,14,0,0,0,2,1,0,0,0,0,0,0,0,0,8,2025-06-03 04:46:21
13166,2025,ARG.2,11978,16756,15,11,0,0,0,0,0,0,0,2,2,2,0,0,6,2025-06-03 04:46:27
13166,2025,ARG.2,17352,25591,15,0,0,0,2,0,0,0,0,0,0,0,0,0,13,2025-06-03 04:46:27
13166,2025,ARG.2,11990,34253,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:31
13166,2025,ARG.2,13,35213,16,0,0,0,4,0,0,2,0,3,3,3,0,0,16,2025-06-03 04:46:30
13166,2025,ARG.2,10161,35262,13,2,0,0,4,0,0,0,0,0,0,0,0,0,11,2025-06-03 04:46:34
13166,2025,ARG.2,13913,47784,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:21
13166,2025,ARG.2,10743,66049,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:46:29
13166,2025,ARG.2,10149,66288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:46:25
13166,2025,ARG.2,10162,66834,12,5,0,0,1,0,0,2,0,0,0,0,0,0,6,2025-06-03 04:46:34
13166,2025,ARG.2,10743,67312,9,9,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-06-03 04:46:29
13166,2025,ARG.2,5263,68339,10,5,0,0,1,0,0,2,0,0,0,0,0,0,3,2025-06-03 04:46:29
13166,2025,ARG.2,17697,70303,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:46:25
13166,2025,ARG.2,13,71784,12,7,0,0,0,0,0,0,0,1,1,1,0,0,5,2025-06-03 04:46:30
13166,2025,ARG.2,10146,75513,8,3,0,0,1,0,0,0,0,0,0,0,0,0,4,2025-06-03 04:46:23
13166,2025,ARG.2,10743,75812,14,4,0,0,1,0,0,1,0,0,0,0,0,0,4,2025-06-03 04:46:29
