seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13270,2025,BRA.1,2022,11632,10,0,11,4,1,0,0,0,2,7,19,0,0,1,6,2025-06-03 04:46:54
13270,2025,BRA.1,6273,24388,6,3,5,4,3,0,0,0,0,1,6,0,0,1,6,2025-06-03 04:46:56
13270,2025,BRA.1,6270,36805,6,5,1,9,0,0,0,0,1,1,6,0,0,0,2,2025-06-03 04:46:56
13270,2025,BRA.1,3454,43711,4,2,3,1,0,0,0,0,0,0,3,0,0,1,4,2025-06-03 04:46:59
13270,2025,BRA.1,2029,67518,9,0,5,6,1,0,0,1,0,4,8,2,0,1,3,2025-06-03 04:46:57
13270,2025,BRA.1,3445,74906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-25 04:49:41
13270,2025,BRA.1,2022,77577,10,1,11,16,3,0,0,1,1,1,5,1,0,1,8,2025-06-03 04:46:54
13270,2025,BRA.1,9967,82782,11,0,14,8,2,0,0,0,0,0,5,0,0,17,11,2025-06-03 04:46:52
13270,2025,BRA.1,6086,83178,5,5,2,1,0,0,0,0,0,2,5,0,0,1,0,2025-06-03 04:46:53
13270,2025,BRA.1,3454,84877,4,2,2,7,0,0,0,2,0,0,2,0,0,0,3,2025-06-03 04:46:59
13270,2025,BRA.1,9169,94310,10,3,11,9,1,0,0,2,1,6,19,2,0,1,4,2025-06-03 04:46:57
13270,2025,BRA.1,7632,95558,4,1,3,2,1,0,0,0,0,0,9,0,0,2,2,2025-06-03 04:46:52
13270,2025,BRA.1,7635,95831,6,6,3,1,0,0,0,0,1,3,7,0,0,0,0,2025-06-03 04:46:58
13270,2025,BRA.1,6272,95849,3,0,4,1,1,1,0,0,0,0,0,0,0,2,1,2025-06-03 04:46:55
13270,2025,BRA.1,3445,96254,7,0,1,4,0,0,0,0,0,0,2,0,0,4,8,2025-06-03 04:46:55
13270,2025,BRA.1,6272,98398,6,3,5,1,1,0,0,0,0,0,4,0,0,6,5,2025-06-03 04:46:55
13270,2025,BRA.1,6270,99364,6,1,1,0,0,0,0,0,1,0,0,0,69,30,9,2025-06-03 04:46:56
13270,2025,BRA.1,2022,108103,10,1,17,8,1,0,0,2,2,2,8,1,0,2,4,2025-06-03 04:46:54
13270,2025,BRA.1,2022,108342,6,0,9,4,1,0,0,0,0,0,2,0,0,0,2,2025-06-03 04:46:54
13270,2025,BRA.1,2022,108347,11,0,0,0,2,0,0,0,0,0,0,0,109,38,8,2025-06-03 04:46:54
13270,2025,BRA.1,2029,109962,10,3,12,6,1,0,0,0,1,3,6,1,0,2,8,2025-06-03 04:46:57
