seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13231,2025,CHI.1,4139,3276,7,0,7,2,1,0,0,0,0,2,4,0,0,0,4,2025-06-03 04:47:20
13231,2025,CHI.1,7427,34237,11,7,0,1,0,0,0,0,0,1,5,1,0,0,4,2025-06-03 04:47:22
13231,2025,CHI.1,4139,40376,11,5,9,6,2,0,0,3,0,12,39,4,0,0,10,2025-06-03 04:47:20
13231,2025,CHI.1,19195,47057,11,2,7,1,2,0,0,2,0,1,8,1,0,0,15,2025-06-03 04:47:18
13231,2025,CHI.1,4134,48664,7,4,1,3,0,0,0,0,0,3,3,2,0,0,1,2025-06-03 04:47:19
13231,2025,CHI.1,4129,50905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:18
13231,2025,CHI.1,10142,70398,9,2,13,11,5,0,0,2,0,4,14,0,0,0,11,2025-06-03 04:47:18
13231,2025,CHI.1,4138,72377,13,0,11,15,4,1,0,0,0,4,12,0,0,0,15,2025-06-03 04:47:16
13231,2025,CHI.1,10142,73162,4,1,2,2,1,0,0,1,0,0,4,0,0,0,5,2025-06-03 04:47:18
13231,2025,CHI.1,10144,74864,13,1,11,3,4,0,0,0,0,0,2,0,0,0,10,2025-06-03 04:47:21
13231,2025,CHI.1,4139,76778,11,1,10,13,1,0,0,3,0,4,13,2,0,0,9,2025-06-03 04:47:20
13231,2025,CHI.1,4133,77751,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-21 02:16:52
13231,2025,CHI.1,4129,82010,10,3,12,6,2,0,0,2,0,7,18,2,0,0,16,2025-06-03 04:47:18
13231,2025,CHI.1,19195,82185,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:47:18
13231,2025,CHI.1,4138,87673,5,4,4,1,1,0,0,0,0,2,7,1,0,0,2,2025-06-03 04:47:16
13231,2025,CHI.1,6072,95242,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2025-06-03 04:47:19
13231,2025,CHI.1,4134,96287,8,5,1,3,0,0,0,1,0,0,1,0,0,0,4,2025-06-03 04:47:19
13231,2025,CHI.1,4422,99271,13,0,0,3,3,0,0,0,0,0,0,0,0,48,11,2025-06-03 04:47:20
13231,2025,CHI.1,885,101277,12,1,26,26,3,0,0,1,0,1,7,0,0,0,12,2025-06-03 04:47:20
13231,2025,CHI.1,4139,101760,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,2025-06-03 04:47:20
13231,2025,CHI.1,4422,101764,9,0,4,9,1,0,0,0,0,1,2,0,0,0,8,2025-06-03 04:47:20
13231,2025,CHI.1,2688,102198,6,1,13,6,3,0,0,0,0,3,5,2,0,0,3,2025-06-03 04:47:17
13231,2025,CHI.1,8186,102983,12,0,11,7,3,2,0,0,0,1,5,0,0,0,7,2025-06-03 04:47:17
13231,2025,CHI.1,7427,103198,11,2,15,9,3,0,0,1,0,7,21,1,0,0,12,2025-06-03 04:47:22
13231,2025,CHI.1,19195,103425,11,2,7,3,1,0,0,0,0,2,6,1,0,0,15,2025-06-03 04:47:18
13231,2025,CHI.1,4422,106148,9,0,4,5,0,0,0,0,0,2,4,0,0,0,7,2025-06-03 04:47:20
13231,2025,CHI.1,6072,113155,7,6,4,1,1,1,0,0,0,2,7,1,0,0,1,2025-06-03 04:47:19
13231,2025,CHI.1,2688,113574,8,1,7,2,1,0,0,0,0,0,3,0,0,0,7,2025-06-03 04:47:17
13231,2025,CHI.1,6072,116702,10,10,5,0,3,0,0,0,0,1,1,1,0,0,6,2025-06-03 04:47:19
13231,2025,CHI.1,10142,118846,10,0,0,1,0,0,0,0,0,0,1,0,0,38,19,2025-06-03 04:47:18
13231,2025,CHI.1,4422,120602,11,3,13,9,4,0,0,2,0,2,11,0,0,0,5,2025-06-03 04:47:20
13231,2025,CHI.1,10142,120710,5,1,2,1,1,0,0,1,0,0,3,0,0,0,8,2025-06-03 04:47:18
13231,2025,CHI.1,885,120914,7,4,3,4,2,0,0,0,0,0,3,0,0,0,4,2025-06-03 04:47:20
13231,2025,CHI.1,4133,121092,12,0,0,3,1,0,0,0,0,0,0,0,0,41,12,2025-06-03 04:47:17
13231,2025,CHI.1,4137,121495,11,9,6,6,0,0,0,0,0,2,7,1,0,0,9,2025-06-03 04:47:19
13231,2025,CHI.1,885,127264,10,0,20,14,3,0,0,0,0,16,31,6,0,0,12,2025-06-03 04:47:20
13231,2025,CHI.1,4422,128193,11,6,6,7,0,0,0,0,0,5,14,1,0,0,6,2025-06-03 04:47:20
13231,2025,CHI.1,885,128321,8,1,4,4,3,0,0,2,0,1,1,1,0,0,6,2025-06-03 04:47:20
13231,2025,CHI.1,4137,129509,7,0,0,1,2,0,0,0,0,0,0,0,0,17,12,2025-06-03 04:47:19
13231,2025,CHI.1,10142,131385,9,2,2,1,0,1,0,1,0,4,9,2,0,0,14,2025-06-03 04:47:18
13231,2025,CHI.1,4134,131605,13,0,0,6,1,0,0,1,0,0,0,0,0,48,20,2025-06-03 04:47:19
13231,2025,CHI.1,2688,133326,9,2,9,3,2,0,0,0,0,2,9,0,0,0,8,2025-06-03 04:47:17
13231,2025,CHI.1,7427,134171,12,0,11,14,1,0,0,0,0,2,15,1,0,0,16,2025-06-03 04:47:22
13231,2025,CHI.1,4422,134247,11,4,8,9,2,0,0,3,0,1,13,1,0,0,7,2025-06-03 04:47:20
13231,2025,CHI.1,10142,135162,10,4,12,8,0,0,0,0,0,10,19,3,0,0,12,2025-06-03 04:47:18
13231,2025,CHI.1,19195,136984,7,0,12,12,3,0,0,0,0,4,8,0,0,0,6,2025-06-03 04:47:18
13231,2025,CHI.1,4129,140797,6,5,4,6,1,0,0,1,0,4,14,2,0,0,3,2025-06-03 04:47:18
13231,2025,CHI.1,4134,141081,7,0,6,8,2,0,0,1,0,6,11,2,0,0,15,2025-06-03 04:47:19
13231,2025,CHI.1,2688,141825,10,0,7,8,4,0,0,2,0,17,46,3,0,0,9,2025-06-03 04:47:17
13231,2025,CHI.1,19195,142335,3,2,3,3,1,0,0,0,0,0,1,0,0,0,4,2025-06-03 04:47:18
13231,2025,CHI.1,4134,143410,13,0,10,20,1,0,0,0,0,3,5,1,0,0,20,2025-06-03 04:47:19
13231,2025,CHI.1,885,144157,9,5,1,7,0,0,0,0,0,7,11,2,0,0,6,2025-06-03 04:47:20
13231,2025,CHI.1,10142,144290,7,1,4,4,2,0,0,0,0,0,1,0,0,0,15,2025-06-03 04:47:18
13231,2025,CHI.1,10142,144378,5,2,5,2,2,0,0,0,0,0,2,0,0,0,8,2025-06-03 04:47:18
13231,2025,CHI.1,2688,144467,6,2,3,10,0,0,0,0,0,0,1,0,0,0,4,2025-06-03 04:47:17
13231,2025,CHI.1,4422,144532,12,7,7,8,1,0,0,1,0,6,15,1,0,0,4,2025-06-03 04:47:20
13231,2025,CHI.1,2688,145020,10,1,5,18,2,0,0,2,0,5,15,3,0,0,8,2025-06-03 04:47:17
13231,2025,CHI.1,4137,147228,13,2,12,11,3,0,0,0,0,9,20,4,0,0,19,2025-06-03 04:47:19
13231,2025,CHI.1,885,147341,9,0,4,7,3,0,0,0,0,0,0,0,0,0,9,2025-06-03 04:47:20
13231,2025,CHI.1,4422,148357,12,2,7,15,1,0,0,0,0,0,2,0,0,0,8,2025-06-03 04:47:20
13231,2025,CHI.1,10142,149465,9,2,8,1,2,0,0,0,0,1,5,0,0,0,13,2025-06-03 04:47:18
13231,2025,CHI.1,7427,149819,12,3,8,5,2,0,0,1,0,8,18,1,0,0,10,2025-06-03 04:47:22
13231,2025,CHI.1,4139,149937,8,1,4,3,0,0,0,1,0,2,6,1,0,0,8,2025-06-03 04:47:20
13231,2025,CHI.1,2688,150072,5,0,0,0,0,0,0,0,0,0,0,0,0,11,4,2025-06-03 04:47:17
13231,2025,CHI.1,4139,150385,6,5,3,2,2,0,0,0,0,1,2,0,0,0,2,2025-06-03 04:47:20
13231,2025,CHI.1,6072,151638,10,0,10,17,1,0,0,0,0,13,22,4,0,0,12,2025-06-03 04:47:19
