seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13243,2025,CHN.1,21506,21544,11,0,8,15,2,0,0,0,0,1,5,0,0,0,20,2025-06-03 04:48:34
13243,2025,CHN.1,21507,30970,12,2,7,6,1,0,0,2,0,4,12,2,0,0,19,2025-06-03 04:48:31
13243,2025,CHN.1,22199,68927,10,1,6,6,2,0,0,1,0,1,2,0,0,0,19,2025-06-03 04:48:33
13243,2025,CHN.1,8225,82388,5,3,6,3,0,0,0,0,0,0,2,0,0,0,2,2025-06-03 04:48:30
13243,2025,CHN.1,21355,82922,10,7,14,5,1,0,0,0,0,4,17,1,0,0,2,2025-06-03 04:48:30
13243,2025,CHN.1,2052,97134,6,3,4,3,0,0,0,0,0,1,1,1,0,0,3,2025-06-03 04:48:29
13243,2025,CHN.1,7521,97193,11,0,1,0,1,1,0,0,0,0,0,0,0,22,19,2025-06-03 04:48:32
13243,2025,CHN.1,8225,102040,13,0,11,5,3,0,0,0,0,0,9,0,0,0,25,2025-06-03 04:48:30
13243,2025,CHN.1,22198,102583,10,1,10,11,2,0,0,0,0,0,1,0,0,0,17,2025-06-03 04:48:32
13243,2025,CHN.1,18203,112373,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:48:35
13243,2025,CHN.1,18203,117009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:48:35
13243,2025,CHN.1,22537,117011,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:30
13243,2025,CHN.1,22536,132836,3,2,0,4,0,0,0,0,0,0,0,0,0,0,3,2025-06-03 04:48:34
13243,2025,CHN.1,22198,134363,11,10,8,5,2,0,0,0,0,1,7,1,0,0,7,2025-06-03 04:48:32
13243,2025,CHN.1,7521,134821,6,1,4,2,1,0,0,0,0,0,5,0,0,0,7,2025-06-03 04:48:32
13243,2025,CHN.1,977,135509,8,8,2,3,0,0,0,1,0,2,4,2,0,0,1,2025-06-03 04:48:33
13243,2025,CHN.1,15515,140009,10,2,8,20,0,0,0,1,0,7,15,2,0,0,8,2025-06-03 04:48:32
13243,2025,CHN.1,18203,143825,5,2,2,4,0,0,0,1,0,0,0,0,0,0,7,2025-06-03 04:48:35
13243,2025,CHN.1,22537,144324,8,1,9,0,0,0,0,1,0,2,9,1,0,0,6,2025-06-03 04:48:30
13243,2025,CHN.1,22536,144889,10,2,10,4,1,0,0,2,0,3,12,3,0,0,10,2025-06-03 04:48:34
13243,2025,CHN.1,15515,145481,5,4,6,2,2,0,0,0,0,1,2,0,0,0,1,2025-06-03 04:48:32
13243,2025,CHN.1,22198,145482,11,5,9,4,0,0,0,0,0,0,0,0,0,0,10,2025-06-03 04:48:32
13243,2025,CHN.1,2052,145483,9,0,11,9,2,0,0,0,0,1,1,0,0,0,9,2025-06-03 04:48:29
13243,2025,CHN.1,22536,146433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:34
13243,2025,CHN.1,2052,146451,7,1,0,0,1,0,0,0,0,0,0,0,0,12,7,2025-06-03 04:48:29
13243,2025,CHN.1,977,150127,12,1,15,11,1,0,0,0,0,1,11,0,0,0,9,2025-06-03 04:48:33
13243,2025,CHN.1,22536,150317,10,1,4,2,1,1,0,0,0,0,1,0,0,0,15,2025-06-03 04:48:34
13243,2025,CHN.1,8225,151457,13,3,26,23,1,0,0,2,0,14,34,2,0,0,19,2025-06-03 04:48:30
13243,2025,CHN.1,18203,152424,9,3,5,10,2,0,0,3,0,5,10,4,0,0,11,2025-06-03 04:48:35
13243,2025,CHN.1,21910,155123,13,1,5,24,1,0,0,0,0,12,31,6,0,0,14,2025-06-03 04:48:32
13243,2025,CHN.1,7521,156702,4,0,4,1,1,0,0,0,0,0,2,0,0,0,3,2025-06-03 04:48:32
13243,2025,CHN.1,15515,156780,11,1,16,9,5,0,0,0,0,3,6,0,0,0,12,2025-06-03 04:48:32
13243,2025,CHN.1,8225,156916,13,0,14,18,1,0,0,1,0,10,18,6,0,0,23,2025-06-03 04:48:30
13243,2025,CHN.1,8240,157638,9,3,6,6,0,0,0,1,0,0,3,0,0,0,8,2025-06-03 04:48:31
13243,2025,CHN.1,21910,158038,6,1,7,8,3,0,0,0,0,0,2,0,0,0,6,2025-06-03 04:48:32
