seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13214,2025,ECU.1,882,24110,4,1,4,4,0,0,0,1,0,0,2,0,0,0,7,2025-06-03 04:47:34
13214,2025,ECU.1,882,32687,13,6,10,2,1,0,0,2,0,7,18,1,0,0,12,2025-06-03 04:47:34
13214,2025,ECU.1,882,34150,2,1,0,2,0,0,0,0,0,2,3,0,0,0,1,2025-06-03 04:47:34
13214,2025,ECU.1,20695,68426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:36
13214,2025,ECU.1,18439,70683,3,0,1,2,0,1,0,0,0,0,0,0,0,5,2,2025-06-03 04:47:35
13214,2025,ECU.1,2686,74966,5,0,5,6,0,0,0,0,0,0,2,0,0,0,5,2025-06-03 04:47:33
13214,2025,ECU.1,1011,75703,9,0,4,6,3,0,0,0,0,1,2,0,0,0,9,2025-06-03 04:47:33
13214,2025,ECU.1,17086,77319,5,1,7,1,0,0,0,0,0,1,2,0,0,0,4,2025-06-03 04:47:34
13214,2025,ECU.1,18439,77969,11,3,6,7,0,0,0,0,0,7,28,0,0,0,6,2025-06-03 04:47:35
13214,2025,ECU.1,9292,78158,9,5,11,5,2,0,0,0,0,3,9,2,0,0,6,2025-06-03 04:47:37
13214,2025,ECU.1,4816,82355,12,3,18,15,0,0,0,1,0,2,4,1,0,0,7,2025-06-03 04:47:35
13214,2025,ECU.1,2668,82650,11,7,10,4,4,0,0,0,0,1,7,1,0,0,7,2025-06-03 04:47:34
13214,2025,ECU.1,20695,83910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:36
13214,2025,ECU.1,4816,95614,13,0,0,2,0,0,0,0,0,0,0,0,0,28,13,2025-06-03 04:47:35
13214,2025,ECU.1,20695,95831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:36
13214,2025,ECU.1,20695,96165,13,0,13,9,4,0,0,0,0,2,4,1,0,0,15,2025-06-03 04:47:36
13214,2025,ECU.1,9292,96862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:37
13214,2025,ECU.1,2686,98025,6,3,4,7,0,0,0,0,0,3,6,2,0,0,4,2025-06-03 04:47:33
13214,2025,ECU.1,1011,99003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:33
13214,2025,ECU.1,10307,103472,9,2,10,5,1,0,0,0,0,0,2,0,0,0,15,2025-06-03 04:47:36
13214,2025,ECU.1,2686,104504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:33
13214,2025,ECU.1,882,104678,7,2,9,6,1,1,0,0,0,6,9,0,0,0,9,2025-06-03 04:47:34
13214,2025,ECU.1,2668,105756,13,0,0,3,2,0,0,0,0,0,0,0,0,41,12,2025-06-03 04:47:34
13214,2025,ECU.1,17176,107405,14,5,19,14,1,0,0,2,0,7,21,1,0,0,14,2025-06-03 04:47:36
13214,2025,ECU.1,10307,111978,9,5,11,10,2,0,0,0,0,2,6,0,0,0,4,2025-06-03 04:47:36
13214,2025,ECU.1,10307,116167,7,0,5,2,1,0,0,0,0,1,2,0,0,0,10,2025-06-03 04:47:36
13214,2025,ECU.1,1011,126097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:33
13214,2025,ECU.1,9283,127069,13,3,3,22,2,0,0,4,0,4,13,3,0,0,13,2025-06-03 04:47:37
13214,2025,ECU.1,9292,127277,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:47:37
13214,2025,ECU.1,6017,129536,7,3,4,6,1,0,0,1,0,5,9,1,0,0,3,2025-06-03 04:47:32
13214,2025,ECU.1,17176,130428,5,3,4,5,1,0,0,0,0,2,5,1,0,0,5,2025-06-03 04:47:36
13214,2025,ECU.1,882,130615,5,4,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-06-03 04:47:34
13214,2025,ECU.1,4816,131726,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2025-06-03 04:47:35
13214,2025,ECU.1,17086,135298,9,5,3,6,1,0,0,0,0,2,7,0,0,0,5,2025-06-03 04:47:34
13214,2025,ECU.1,9283,136944,6,0,1,0,0,0,0,0,0,0,0,0,0,22,8,2025-06-03 04:47:37
13214,2025,ECU.1,20695,137516,8,5,3,0,0,0,0,0,0,0,3,0,0,0,10,2025-06-03 04:47:36
13214,2025,ECU.1,21843,140050,7,6,5,1,1,1,0,1,0,4,8,1,0,0,3,2025-06-03 04:47:35
13214,2025,ECU.1,17086,140722,10,7,2,3,1,0,0,2,0,2,5,1,0,0,5,2025-06-03 04:47:34
13214,2025,ECU.1,17086,143288,13,4,7,14,1,0,0,1,0,15,29,7,0,0,4,2025-06-03 04:47:34
13214,2025,ECU.1,6017,144645,10,0,1,3,0,0,0,1,0,9,26,5,0,0,8,2025-06-03 04:47:32
13214,2025,ECU.1,2686,144821,13,3,14,6,3,0,0,0,0,1,3,0,0,0,14,2025-06-03 04:47:33
13214,2025,ECU.1,2686,144862,10,0,10,12,4,0,0,0,0,0,4,0,0,0,5,2025-06-03 04:47:33
13214,2025,ECU.1,17176,144874,14,2,4,17,1,0,0,1,0,19,40,3,0,0,21,2025-06-03 04:47:36
13214,2025,ECU.1,882,144900,11,5,13,12,3,0,0,0,0,6,13,1,0,0,11,2025-06-03 04:47:34
13214,2025,ECU.1,882,145626,12,1,13,16,3,0,0,0,0,0,15,0,0,0,16,2025-06-03 04:47:34
13214,2025,ECU.1,22535,146352,13,4,8,17,3,0,2,0,0,1,7,0,0,0,12,2025-06-03 04:47:38
13214,2025,ECU.1,2686,149029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:33
13214,2025,ECU.1,20695,150074,15,1,15,11,3,0,0,1,0,2,12,1,0,0,19,2025-06-03 04:47:36
13214,2025,ECU.1,9283,153640,10,2,6,1,3,0,0,0,0,2,4,0,0,0,11,2025-06-03 04:47:37
13214,2025,ECU.1,2668,154336,14,0,9,21,0,1,0,0,0,3,9,0,0,0,17,2025-06-03 04:47:34
13214,2025,ECU.1,4812,154343,13,0,10,16,1,0,0,1,0,10,20,4,0,0,8,2025-06-03 04:47:34
13214,2025,ECU.1,22535,155673,13,2,8,15,2,0,0,0,0,7,17,4,0,0,11,2025-06-03 04:47:38
13214,2025,ECU.1,4812,155980,7,0,9,9,2,0,0,0,0,4,12,0,0,0,3,2025-06-03 04:47:34
13214,2025,ECU.1,1011,156141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:33
13214,2025,ECU.1,4812,157954,15,0,13,12,1,0,0,0,0,1,6,0,0,0,13,2025-06-03 04:47:34
13214,2025,ECU.1,1011,158456,4,1,1,1,0,0,0,0,0,2,3,0,0,0,6,2025-06-03 04:47:33
13214,2025,ECU.1,18439,159156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:35
13214,2025,ECU.1,2686,159158,13,4,3,12,1,0,0,2,0,11,23,5,0,0,10,2025-06-03 04:47:33
13214,2025,ECU.1,17086,159164,8,4,2,6,1,0,0,2,0,2,8,1,0,0,2,2025-06-03 04:47:34
13214,2025,ECU.1,9283,159165,14,0,18,5,5,0,0,1,0,1,6,0,0,0,18,2025-06-03 04:47:37
13214,2025,ECU.1,6017,161027,14,6,6,5,0,0,0,0,0,2,3,0,0,0,9,2025-06-03 04:47:32
13214,2025,ECU.1,22535,163171,12,0,3,16,1,0,0,4,0,10,22,3,0,0,11,2025-06-03 04:47:38
13214,2025,ECU.1,2686,165509,10,0,0,3,0,0,0,0,0,0,0,0,0,26,11,2025-06-03 04:47:33
13214,2025,ECU.1,17176,171135,11,2,21,17,4,0,0,0,0,3,18,2,0,0,18,2025-06-03 04:47:36
13214,2025,ECU.1,1011,172611,13,8,3,17,0,0,0,0,0,2,5,0,0,0,12,2025-06-03 04:47:33
13214,2025,ECU.1,20695,173003,12,1,15,10,2,1,0,2,0,11,24,7,0,0,9,2025-06-03 04:47:36
13214,2025,ECU.1,22535,173176,11,2,10,7,2,1,0,0,0,0,4,0,0,0,14,2025-06-03 04:47:38
13214,2025,ECU.1,21843,174825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:35
13214,2025,ECU.1,18439,176863,12,2,13,10,1,0,0,0,0,1,5,0,0,0,7,2025-06-03 04:47:35
13214,2025,ECU.1,10307,177243,15,0,6,24,1,0,0,1,0,16,28,10,0,0,24,2025-06-03 04:47:36
13214,2025,ECU.1,2668,179516,14,0,13,6,3,0,0,0,0,1,5,0,0,0,14,2025-06-03 04:47:34
13214,2025,ECU.1,2686,180048,12,0,6,9,2,0,0,0,0,12,34,6,0,0,8,2025-06-03 04:47:33
13214,2025,ECU.1,17086,180537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:34
13214,2025,ECU.1,882,180888,11,4,9,8,0,0,0,0,0,0,0,0,0,0,13,2025-06-03 04:47:34
13214,2025,ECU.1,2668,180908,12,0,15,28,3,1,0,1,0,3,14,0,0,0,13,2025-06-03 04:47:34
13214,2025,ECU.1,1011,181196,10,0,8,11,3,0,0,1,0,1,1,0,0,0,8,2025-06-03 04:47:33
13214,2025,ECU.1,17086,182021,6,5,2,3,0,0,0,1,0,1,4,0,0,0,4,2025-06-03 04:47:34
13214,2025,ECU.1,10307,182023,2,0,0,1,1,0,0,0,0,0,0,0,0,4,4,2025-06-03 04:47:36
13214,2025,ECU.1,10307,183939,15,3,6,17,1,0,0,6,0,5,15,4,0,0,22,2025-06-03 04:47:36
13214,2025,ECU.1,17086,185434,12,0,5,15,3,0,0,1,0,0,0,0,0,0,12,2025-06-03 04:47:34
13214,2025,ECU.1,22535,187513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:38
13214,2025,ECU.1,1011,187699,13,0,0,1,0,0,0,0,0,0,0,0,0,30,19,2025-06-03 04:47:33
13214,2025,ECU.1,4816,188106,10,0,6,7,1,0,0,0,0,1,5,1,0,0,10,2025-06-03 04:47:35
13214,2025,ECU.1,22535,188381,10,6,8,4,2,0,0,0,0,6,14,3,0,0,7,2025-06-03 04:47:38
13214,2025,ECU.1,6017,188467,5,4,3,4,0,0,0,0,0,0,4,0,0,0,2,2025-06-03 04:47:32
13214,2025,ECU.1,882,190615,7,5,1,10,1,0,0,0,0,3,5,1,0,0,4,2025-06-03 04:47:34
