seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13085,2025,JPN.1,7112,90660,16,7,10,7,1,0,0,0,0,4,17,1,0,0,8,2025-06-03 04:48:41
13085,2025,JPN.1,7145,98670,7,7,3,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:48:45
13085,2025,JPN.1,7108,102137,6,0,0,1,0,0,0,0,0,0,0,0,0,18,14,2025-06-03 04:48:42
13085,2025,JPN.1,7109,102139,16,8,9,6,3,0,0,0,0,1,7,1,0,0,12,2025-06-03 04:48:39
13085,2025,JPN.1,7112,102608,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2025-06-03 04:48:41
13085,2025,JPN.1,7102,117024,18,11,16,4,1,0,0,0,0,8,20,3,0,0,15,2025-06-03 04:48:40
13085,2025,JPN.1,3384,119082,11,6,10,4,3,0,0,0,0,0,2,0,0,0,4,2025-06-03 04:48:39
13085,2025,JPN.1,3385,120750,20,0,0,3,0,0,1,0,0,0,0,0,0,49,18,2025-06-03 04:48:44
13085,2025,JPN.1,7107,123022,14,11,14,4,1,0,0,1,0,5,15,0,0,0,5,2025-06-03 04:48:39
13085,2025,JPN.1,7477,133286,17,6,9,31,0,0,0,1,0,13,36,4,0,0,14,2025-06-03 04:48:44
13085,2025,JPN.1,7109,134364,10,2,4,10,1,0,0,0,0,0,5,0,0,0,6,2025-06-03 04:48:39
13085,2025,JPN.1,7102,135355,15,4,10,10,1,0,0,2,0,6,22,3,0,0,21,2025-06-03 04:48:40
13085,2025,JPN.1,7114,135806,4,1,3,5,2,0,0,0,0,2,8,1,0,0,2,2025-06-03 04:48:42
13085,2025,JPN.1,7107,137006,5,2,5,6,0,0,0,0,0,1,6,1,0,0,1,2025-06-03 04:48:39
13085,2025,JPN.1,3384,138203,9,7,7,2,2,0,0,0,0,0,1,0,0,0,8,2025-06-03 04:48:39
13085,2025,JPN.1,21361,140237,15,9,11,4,2,0,0,0,0,2,5,1,0,0,7,2025-06-03 04:48:41
13085,2025,JPN.1,7108,143699,18,7,18,14,4,0,0,1,0,10,25,1,0,0,16,2025-06-03 04:48:42
13085,2025,JPN.1,7109,144012,16,6,15,8,2,0,0,1,0,5,11,2,0,0,12,2025-06-03 04:48:39
13085,2025,JPN.1,7116,148128,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:45
13085,2025,JPN.1,7102,149438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:40
13085,2025,JPN.1,7113,149439,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2025-06-03 04:48:38
13085,2025,JPN.1,7109,149443,8,1,0,0,0,0,0,0,0,0,0,0,0,18,13,2025-06-03 04:48:39
13085,2025,JPN.1,7112,149469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:41
13085,2025,JPN.1,7113,150062,7,2,5,2,0,0,0,1,0,2,3,0,0,0,5,2025-06-03 04:48:38
13085,2025,JPN.1,7116,150063,6,0,0,2,0,0,0,0,0,0,0,0,0,20,9,2025-06-03 04:48:45
13085,2025,JPN.1,21361,150124,8,5,7,3,1,0,0,2,0,3,6,1,0,0,2,2025-06-03 04:48:41
13085,2025,JPN.1,22167,152535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:42
13085,2025,JPN.1,7145,152643,8,8,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-06-03 04:48:45
13085,2025,JPN.1,6902,152776,7,4,1,2,0,0,0,0,0,0,0,0,0,0,4,2025-06-03 04:48:43
13085,2025,JPN.1,22167,153490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:42
13085,2025,JPN.1,7477,153739,17,3,19,18,2,0,0,2,0,4,10,1,0,0,14,2025-06-03 04:48:44
13085,2025,JPN.1,7116,155458,12,3,6,2,0,0,0,0,0,1,4,0,0,0,10,2025-06-03 04:48:45
13085,2025,JPN.1,6902,155586,5,4,1,4,0,0,0,0,0,1,3,1,0,0,3,2025-03-28 04:48:07
13085,2025,JPN.1,7145,155586,18,7,11,17,2,0,0,0,0,6,16,4,0,0,14,2025-06-03 04:48:45
13085,2025,JPN.1,22167,156119,12,8,7,4,0,0,0,0,0,4,12,1,0,0,6,2025-06-03 04:48:42
13085,2025,JPN.1,22167,157448,19,0,11,13,2,0,0,0,0,1,5,0,0,0,23,2025-06-03 04:48:42
13085,2025,JPN.1,7104,157680,9,1,4,12,0,0,0,0,0,0,1,0,0,0,7,2025-06-03 04:48:43
13085,2025,JPN.1,6902,157693,15,14,6,2,1,0,0,0,0,0,2,0,0,0,2,2025-06-03 04:48:43
13085,2025,JPN.1,22522,157842,7,7,1,2,0,0,0,0,0,0,2,0,0,0,0,2025-06-03 04:48:40
13085,2025,JPN.1,7115,157844,14,3,7,6,1,0,0,0,0,0,8,0,0,0,7,2025-06-03 04:48:40
13085,2025,JPN.1,7114,157901,7,2,3,0,0,0,0,1,0,2,6,1,0,0,3,2025-06-03 04:48:42
13085,2025,JPN.1,7112,159078,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2025-06-03 04:48:41
13085,2025,JPN.1,7113,159102,7,6,4,1,0,0,0,0,0,0,0,0,0,0,4,2025-06-03 04:48:38
13085,2025,JPN.1,3385,159333,2,1,0,1,0,0,0,0,0,0,0,0,0,3,2,2025-06-03 04:48:44
13085,2025,JPN.1,7113,159335,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:48:38
13085,2025,JPN.1,7115,159339,19,0,6,3,0,0,0,3,0,1,10,0,0,0,15,2025-06-03 04:48:40
13085,2025,JPN.1,7107,159341,11,6,3,1,2,0,0,1,0,1,5,0,0,0,6,2025-06-03 04:48:39
13085,2025,JPN.1,7116,159344,8,1,6,14,2,0,0,0,0,2,7,1,0,0,8,2025-06-03 04:48:45
13085,2025,JPN.1,22522,159347,15,4,12,6,1,0,0,0,0,1,6,0,0,0,10,2025-06-03 04:48:40
13085,2025,JPN.1,3385,159349,6,5,1,1,0,0,0,0,0,1,3,1,0,0,2,2025-06-03 04:48:44
13085,2025,JPN.1,7145,159350,16,3,16,20,2,0,0,1,0,4,19,2,0,0,12,2025-06-03 04:48:45
13085,2025,JPN.1,7104,164204,19,3,12,31,0,0,0,1,0,12,36,2,0,0,22,2025-06-03 04:48:43
13085,2025,JPN.1,7116,165300,8,3,10,7,1,0,0,0,0,0,4,0,0,0,10,2025-06-03 04:48:45
13085,2025,JPN.1,3385,168974,21,0,11,12,0,0,0,0,0,3,10,1,0,0,20,2025-06-03 04:48:44
