seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13145,2025,NOR.1,510,9167,12,1,19,14,0,0,0,1,0,11,31,4,0,0,11,2025-06-03 04:46:03
13145,2025,NOR.1,3327,114205,7,1,6,12,2,1,0,0,0,3,10,0,0,0,12,2025-06-03 04:45:58
13145,2025,NOR.1,5270,129208,9,0,7,13,0,0,0,1,0,2,5,1,0,0,14,2025-06-03 04:46:02
13145,2025,NOR.1,22165,129211,8,2,6,4,0,0,0,1,0,1,3,0,0,0,10,2025-06-03 04:45:59
13145,2025,NOR.1,5002,129234,3,2,1,1,1,0,0,2,0,0,1,0,0,0,1,2025-06-03 04:46:01
13145,2025,NOR.1,2791,129267,5,1,4,0,1,0,0,1,0,0,0,0,0,0,2,2025-06-03 04:46:02
13145,2025,NOR.1,5002,129292,4,1,7,2,1,0,0,0,0,2,7,0,0,0,1,2025-06-03 04:46:01
13145,2025,NOR.1,21380,134074,6,0,0,0,0,0,0,0,0,0,0,0,0,24,8,2025-06-03 04:45:58
13145,2025,NOR.1,2715,134827,5,2,4,3,2,0,0,0,0,3,5,1,0,0,3,2025-06-03 04:45:59
13145,2025,NOR.1,2715,141189,9,1,0,3,0,0,0,0,0,4,12,0,0,0,11,2025-06-03 04:45:59
13145,2025,NOR.1,2715,146381,6,1,5,4,2,0,0,1,0,0,1,0,0,0,5,2025-06-03 04:45:59
13145,2025,NOR.1,6672,146895,11,0,2,7,0,0,0,0,0,2,4,0,0,0,18,2025-06-03 04:45:59
13145,2025,NOR.1,510,149479,4,0,0,1,0,0,0,0,0,0,0,0,0,8,3,2025-06-03 04:46:03
13145,2025,NOR.1,3039,153894,8,6,1,5,0,0,0,0,0,0,3,0,0,0,2,2025-06-03 04:45:58
13145,2025,NOR.1,5002,159247,9,0,9,2,1,0,0,1,0,0,1,0,0,0,8,2025-06-03 04:46:01
13145,2025,NOR.1,9811,162442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:01
13145,2025,NOR.1,9811,162470,9,0,11,3,1,0,0,1,0,3,15,0,0,0,18,2025-06-03 04:46:01
13145,2025,NOR.1,2715,162495,6,4,6,1,0,1,0,0,0,5,13,3,0,0,3,2025-06-03 04:45:59
13145,2025,NOR.1,510,164279,11,2,4,9,3,0,0,5,0,12,26,8,0,0,11,2025-06-03 04:46:03
13145,2025,NOR.1,9811,166628,9,0,3,4,0,0,0,1,0,3,6,1,0,0,18,2025-06-03 04:46:01
13145,2025,NOR.1,9811,168749,7,1,4,3,0,0,0,1,0,1,3,0,0,0,9,2025-06-03 04:46:01
13145,2025,NOR.1,21380,169106,3,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-06-03 04:45:58
13145,2025,NOR.1,5270,172685,4,2,1,2,0,0,0,0,0,0,0,0,0,0,7,2025-06-03 04:46:02
13145,2025,NOR.1,620,173355,9,3,2,3,0,0,0,1,0,9,20,3,0,0,9,2025-06-03 04:46:00
13145,2025,NOR.1,2715,173356,9,0,5,2,0,0,0,1,0,1,10,0,0,0,11,2025-06-03 04:45:59
13145,2025,NOR.1,2980,176883,8,5,3,1,0,0,0,0,0,0,1,0,0,0,7,2025-06-03 04:45:57
13145,2025,NOR.1,9811,177210,8,0,0,0,1,0,0,0,0,0,0,0,0,29,15,2025-06-03 04:46:01
13145,2025,NOR.1,5270,177985,9,0,0,1,1,0,0,0,0,0,0,0,0,26,14,2025-06-03 04:46:02
13145,2025,NOR.1,2715,178135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:59
13145,2025,NOR.1,2715,179157,7,2,3,12,1,0,0,3,0,1,4,0,0,0,4,2025-06-03 04:45:59
13145,2025,NOR.1,510,180971,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:03
13145,2025,NOR.1,2791,181147,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2025-06-03 04:46:02
13145,2025,NOR.1,438,181637,8,3,9,8,1,0,0,1,0,5,16,0,0,0,2,2025-06-03 04:46:00
13145,2025,NOR.1,2715,182347,8,1,1,8,0,0,0,1,0,1,4,0,0,0,8,2025-06-03 04:45:59
13145,2025,NOR.1,2980,184879,2,1,0,2,0,0,0,0,0,0,0,0,0,0,3,2025-06-03 04:45:57
13145,2025,NOR.1,510,186071,5,3,1,1,0,0,0,0,0,1,2,0,0,0,3,2025-06-03 04:46:03
13145,2025,NOR.1,438,186078,10,0,1,2,0,0,0,1,0,1,8,1,0,0,5,2025-06-03 04:46:00
13145,2025,NOR.1,2791,186172,6,0,14,11,1,0,0,1,0,2,4,2,0,0,9,2025-06-03 04:46:02
13145,2025,NOR.1,510,186248,12,0,4,8,0,0,0,2,0,6,27,1,0,0,11,2025-06-03 04:46:03
13145,2025,NOR.1,5270,187920,9,3,6,4,1,0,0,0,0,2,6,1,0,0,8,2025-06-03 04:46:02
13145,2025,NOR.1,5002,191982,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:01
13145,2025,NOR.1,3327,194364,7,1,2,3,0,0,0,0,0,4,8,1,0,0,8,2025-06-03 04:45:58
13145,2025,NOR.1,22165,195570,6,0,4,6,0,0,0,0,0,3,9,2,0,0,10,2025-06-03 04:45:59
13145,2025,NOR.1,3327,202676,10,0,13,2,1,0,0,0,0,0,1,0,0,0,24,2025-06-03 04:45:58
13145,2025,NOR.1,2791,202687,8,4,3,4,1,0,0,1,0,1,7,0,0,0,7,2025-06-03 04:46:02
13145,2025,NOR.1,2980,203670,8,0,6,6,0,0,0,1,0,8,16,5,0,0,4,2025-06-03 04:45:57
13145,2025,NOR.1,9811,204768,7,4,8,7,1,0,0,0,0,1,1,0,0,0,11,2025-06-03 04:46:01
13145,2025,NOR.1,2715,205140,8,1,8,11,2,0,1,0,0,0,2,0,0,0,6,2025-06-03 04:45:59
13145,2025,NOR.1,620,205582,11,2,11,6,3,0,0,2,0,5,9,0,0,0,16,2025-06-03 04:46:00
13145,2025,NOR.1,438,205636,9,3,9,6,2,0,0,0,0,0,5,0,0,0,6,2025-06-03 04:46:00
13145,2025,NOR.1,2980,205924,8,0,5,1,1,0,0,3,0,4,18,0,0,0,8,2025-06-03 04:45:57
13145,2025,NOR.1,5002,206030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:46:01
13145,2025,NOR.1,2980,208353,4,4,1,2,0,0,0,0,0,1,1,0,0,0,5,2025-06-03 04:45:57
13145,2025,NOR.1,620,214177,7,0,8,5,2,0,0,0,0,0,3,0,0,0,10,2025-06-03 04:46:00
