seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13190,2025,PER.1,21819,2821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:26
13190,2025,PER.1,10116,16756,11,5,8,7,0,0,0,0,0,0,3,0,0,0,9,2025-06-03 04:47:24
13190,2025,PER.1,11995,19469,6,3,2,0,0,0,0,1,0,0,0,0,0,0,4,2025-06-03 04:47:25
13190,2025,PER.1,3372,34337,3,0,4,4,1,0,0,0,0,1,4,0,0,0,2,2025-06-03 04:47:24
13190,2025,PER.1,2680,40270,8,2,6,11,1,1,0,0,0,9,16,5,0,0,1,2025-06-03 04:47:23
13190,2025,PER.1,10318,47543,7,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2025-06-03 04:47:27
13190,2025,PER.1,21819,70112,8,5,5,0,1,2,0,0,0,0,1,0,0,0,3,2025-06-03 04:47:26
13190,2025,PER.1,2680,72655,7,1,5,7,0,1,0,0,0,7,20,3,0,0,2,2025-06-03 04:47:23
13190,2025,PER.1,18153,78879,8,7,5,4,0,1,0,0,0,1,4,0,0,0,3,2025-06-03 04:47:25
13190,2025,PER.1,20293,82476,12,0,7,1,1,0,1,0,0,0,1,0,0,0,18,2025-06-03 04:47:24
13190,2025,PER.1,5267,83309,12,4,10,16,1,0,0,0,0,3,6,0,0,0,5,2025-06-03 04:47:22
13190,2025,PER.1,20293,85743,9,6,6,4,0,0,0,1,0,1,5,1,0,0,6,2025-06-03 04:47:24
13190,2025,PER.1,7312,85847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:47:27
13190,2025,PER.1,21314,85853,10,8,3,9,0,0,0,0,0,8,18,3,0,0,3,2025-06-03 04:47:22
13190,2025,PER.1,5570,93550,13,6,9,8,1,0,0,0,0,2,8,0,0,0,10,2025-06-03 04:47:27
13190,2025,PER.1,10122,95667,5,0,1,6,0,0,0,0,0,0,0,0,0,12,10,2025-06-03 04:47:28
13190,2025,PER.1,2673,96074,10,1,1,2,0,0,0,2,0,8,16,5,0,0,12,2025-06-03 04:47:28
13190,2025,PER.1,10318,100531,12,6,6,5,2,0,0,1,0,12,22,4,0,0,8,2025-06-03 04:47:27
13190,2025,PER.1,2685,104067,11,7,6,16,1,1,0,0,0,9,22,5,0,0,5,2025-06-03 04:47:28
13190,2025,PER.1,3372,106507,9,5,2,7,2,0,0,1,0,6,17,2,0,0,8,2025-06-03 04:47:24
13190,2025,PER.1,2673,108090,20,2,29,13,6,0,0,3,0,7,25,2,0,0,20,2025-06-03 04:47:28
13190,2025,PER.1,22168,108090,20,2,29,13,5,0,0,3,0,7,25,2,0,0,20,2025-06-02 04:49:54
13190,2025,PER.1,2680,112619,6,0,6,10,1,1,0,0,0,0,1,0,0,0,4,2025-06-03 04:47:23
13190,2025,PER.1,2685,113309,11,8,10,11,0,1,0,0,0,3,6,3,0,0,5,2025-06-03 04:47:28
13190,2025,PER.1,21314,116032,6,1,1,10,0,0,0,1,0,2,8,1,0,0,6,2025-06-03 04:47:22
13190,2025,PER.1,2680,116144,4,0,5,3,0,1,0,0,0,2,9,1,0,0,0,2025-06-03 04:47:23
13190,2025,PER.1,3372,118425,10,6,12,9,2,0,0,2,0,5,10,5,0,0,7,2025-06-03 04:47:24
13190,2025,PER.1,22168,118665,13,4,13,13,3,0,0,0,0,7,19,3,0,0,13,2025-06-03 04:47:26
