seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13086,2025,SWE.1,7834,4703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:51
13086,2025,SWE.1,2720,9101,6,2,1,3,1,0,0,0,0,1,3,1,0,0,4,2025-06-03 04:45:56
13086,2025,SWE.1,8547,15527,12,4,8,11,0,0,0,2,0,3,10,1,0,0,11,2025-06-03 04:45:55
13086,2025,SWE.1,8544,19242,12,0,0,6,2,0,0,0,0,0,0,0,0,41,23,2025-06-03 04:45:54
13086,2025,SWE.1,7834,21990,6,0,2,5,1,0,0,0,0,0,0,0,0,0,11,2025-06-03 04:45:51
13086,2025,SWE.1,2720,22706,11,0,16,20,1,0,0,2,0,10,29,1,0,0,19,2025-06-02 04:48:45
13086,2025,SWE.1,8547,22706,11,0,16,20,1,0,0,2,0,10,29,1,0,0,19,2025-06-03 04:45:55
13086,2025,SWE.1,2495,22967,13,0,12,29,1,0,0,1,0,5,14,2,0,0,9,2025-06-03 04:45:53
13086,2025,SWE.1,8547,25076,8,1,6,4,1,0,0,1,0,0,3,0,0,0,15,2025-06-03 04:45:55
13086,2025,SWE.1,994,39733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:51
13086,2025,SWE.1,2720,75987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:56
13086,2025,SWE.1,2556,83736,11,0,11,8,1,0,0,0,0,0,3,0,0,0,15,2025-06-03 04:45:54
13086,2025,SWE.1,2339,120652,6,3,9,13,2,0,0,0,0,2,4,0,0,0,2,2025-06-03 04:45:52
13086,2025,SWE.1,3017,121282,9,5,11,1,1,0,0,0,0,0,2,0,0,0,15,2025-06-03 04:45:53
13086,2025,SWE.1,7834,121827,4,1,1,0,0,0,0,0,0,0,0,0,0,8,9,2025-06-03 04:45:51
13086,2025,SWE.1,7834,125312,7,0,0,3,1,0,0,0,0,0,0,0,0,14,10,2025-06-03 04:45:51
13086,2025,SWE.1,7834,133980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:51
13086,2025,SWE.1,994,133993,12,0,0,2,2,0,0,0,0,0,0,0,0,31,12,2025-06-03 04:45:51
13086,2025,SWE.1,8221,134643,8,7,7,3,2,0,0,0,0,3,8,0,0,0,6,2025-06-03 04:45:53
13086,2025,SWE.1,529,134644,12,0,16,19,2,0,0,3,0,5,12,1,0,0,15,2025-06-03 04:45:54
13086,2025,SWE.1,2720,135579,7,0,4,1,2,0,0,0,0,6,13,1,0,0,4,2025-06-03 04:45:56
13086,2025,SWE.1,2339,136911,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:52
13086,2025,SWE.1,2720,138055,7,5,1,4,0,0,0,0,0,1,4,0,0,0,3,2025-06-03 04:45:56
13086,2025,SWE.1,2495,143585,13,1,6,23,0,0,0,2,0,15,45,6,0,0,9,2025-06-03 04:45:53
13086,2025,SWE.1,529,146012,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:54
13086,2025,SWE.1,8221,146116,12,0,0,4,0,0,0,0,0,0,0,0,0,29,19,2025-06-03 04:45:53
13086,2025,SWE.1,7834,146579,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:51
13086,2025,SWE.1,994,146893,13,5,23,9,2,0,0,2,0,5,14,2,0,0,8,2025-06-03 04:45:51
13086,2025,SWE.1,3017,147211,12,0,13,6,1,0,0,2,0,0,3,0,0,0,25,2025-06-03 04:45:53
13086,2025,SWE.1,2720,149538,9,4,6,13,0,0,0,0,0,8,21,3,0,0,3,2025-06-03 04:45:56
13086,2025,SWE.1,8222,149765,9,9,4,9,1,0,0,0,0,1,7,0,0,0,1,2025-06-03 04:45:52
13086,2025,SWE.1,20301,151931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:56
13086,2025,SWE.1,8544,158978,10,1,10,22,0,0,0,1,0,10,14,6,0,0,18,2025-06-03 04:45:54
13086,2025,SWE.1,21382,158993,10,1,6,19,1,0,0,4,0,2,7,1,0,0,17,2025-06-03 04:45:55
13086,2025,SWE.1,3017,159454,8,8,4,0,0,0,0,0,0,1,3,0,0,0,4,2025-06-03 04:45:53
13086,2025,SWE.1,8221,162464,12,0,8,3,2,0,0,0,0,3,9,0,0,0,19,2025-06-03 04:45:53
13086,2025,SWE.1,2936,162497,4,3,0,0,0,0,0,0,0,0,1,0,0,0,2,2025-06-03 04:45:56
13086,2025,SWE.1,2720,162738,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:56
13086,2025,SWE.1,2339,164556,12,3,9,10,1,0,0,1,0,9,29,1,0,0,13,2025-06-03 04:45:52
13086,2025,SWE.1,2720,166657,13,8,6,3,1,0,0,1,0,5,14,3,0,0,1,2025-06-03 04:45:56
13086,2025,SWE.1,2495,170727,13,0,0,0,0,0,0,0,0,0,0,0,0,33,9,2025-06-03 04:45:53
13086,2025,SWE.1,2339,172855,12,2,3,10,0,0,1,0,0,2,3,1,0,0,12,2025-06-03 04:45:52
13086,2025,SWE.1,20301,172917,8,2,7,6,1,0,0,0,0,2,7,2,0,0,4,2025-06-03 04:45:56
13086,2025,SWE.1,994,172923,8,5,4,6,0,0,0,0,0,0,1,0,0,0,3,2025-06-03 04:45:51
13086,2025,SWE.1,529,173040,11,0,14,4,5,0,0,2,0,13,23,4,0,0,15,2025-06-03 04:45:54
13086,2025,SWE.1,2936,173508,8,4,1,4,0,0,0,1,0,1,1,1,0,0,3,2025-06-03 04:45:56
13086,2025,SWE.1,529,174501,5,5,2,4,1,0,0,0,0,0,1,0,0,0,1,2025-06-03 04:45:54
13086,2025,SWE.1,529,176191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:54
13086,2025,SWE.1,7834,177546,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2025-06-03 04:45:51
13086,2025,SWE.1,20856,178387,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-06-03 04:45:51
13086,2025,SWE.1,3017,178687,6,0,15,5,3,0,0,0,0,1,4,0,0,0,8,2025-06-03 04:45:53
13086,2025,SWE.1,2556,179771,9,7,3,3,2,0,0,0,0,0,3,0,0,0,4,2025-06-03 04:45:54
13086,2025,SWE.1,7834,185916,10,0,9,20,2,0,0,1,0,8,15,3,0,0,18,2025-06-03 04:45:51
13086,2025,SWE.1,21382,185955,5,4,0,1,0,0,0,0,0,2,5,0,0,0,7,2025-06-03 04:45:55
13086,2025,SWE.1,8547,186504,8,2,2,1,0,0,0,0,0,0,2,0,0,0,11,2025-06-03 04:45:55
13086,2025,SWE.1,8544,188022,12,4,1,4,1,0,0,2,0,6,19,1,0,0,14,2025-06-03 04:45:54
13086,2025,SWE.1,20301,192793,12,0,15,16,3,0,0,0,0,0,1,0,0,0,10,2025-06-03 04:45:56
13086,2025,SWE.1,994,193105,12,0,17,10,2,1,0,0,0,3,14,2,0,0,9,2025-06-03 04:45:51
13086,2025,SWE.1,2720,193186,12,0,10,4,2,0,0,0,0,2,7,1,0,0,9,2025-06-03 04:45:56
13086,2025,SWE.1,21382,193351,12,2,9,20,1,0,0,1,0,5,13,1,0,0,16,2025-06-03 04:45:55
13086,2025,SWE.1,529,194092,9,0,11,6,4,0,0,0,0,2,4,1,0,0,10,2025-06-03 04:45:54
13086,2025,SWE.1,7834,194293,11,0,11,12,4,0,0,1,0,0,3,0,0,0,18,2025-06-03 04:45:51
13086,2025,SWE.1,3017,195094,5,0,0,1,1,0,0,0,0,0,0,0,0,13,10,2025-06-03 04:45:53
13086,2025,SWE.1,2720,198227,9,0,0,0,0,0,0,0,0,0,0,0,0,17,9,2025-06-03 04:45:56
13086,2025,SWE.1,529,202682,3,1,1,0,0,0,0,0,0,0,2,0,0,0,5,2025-06-03 04:45:54
13086,2025,SWE.1,2339,203266,3,0,0,1,0,0,0,0,0,0,0,0,0,8,4,2025-06-03 04:45:52
13086,2025,SWE.1,20856,205158,12,0,24,13,0,0,0,1,0,3,9,1,0,0,22,2025-06-03 04:45:51
13086,2025,SWE.1,7834,206253,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2025-06-03 04:45:51
13086,2025,SWE.1,8221,208616,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-06-03 04:45:53
13086,2025,SWE.1,2495,210020,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,2025-06-03 04:45:53
13086,2025,SWE.1,994,215152,13,2,8,9,2,0,0,3,0,7,26,2,0,0,11,2025-06-03 04:45:51
13086,2025,SWE.1,2936,217300,12,1,21,14,2,0,0,0,0,7,17,2,0,0,13,2025-06-03 04:45:56
13086,2025,SWE.1,994,218410,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:51
13086,2025,SWE.1,2495,218436,12,0,14,13,3,0,0,3,0,5,16,0,0,0,7,2025-06-03 04:45:53
13086,2025,SWE.1,2720,218450,10,5,14,12,3,0,0,0,0,2,8,0,0,0,4,2025-06-03 04:45:56
13086,2025,SWE.1,20856,218520,11,1,3,3,1,0,0,1,0,0,4,0,0,0,18,2025-06-03 04:45:51
13086,2025,SWE.1,2556,219163,12,0,13,12,3,0,0,4,0,9,33,3,0,0,16,2025-06-03 04:45:54
13086,2025,SWE.1,2339,219533,9,0,1,2,0,0,0,0,0,0,0,0,0,24,10,2025-06-03 04:45:52
13086,2025,SWE.1,2556,220974,5,2,9,7,2,0,0,0,0,0,1,0,0,0,2,2025-06-03 04:45:54
13086,2025,SWE.1,994,222606,12,2,11,6,1,0,0,0,0,1,7,0,0,0,9,2025-06-03 04:45:51
13086,2025,SWE.1,2936,222639,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:56
13086,2025,SWE.1,2556,222784,6,2,4,8,1,0,0,1,0,1,5,0,0,0,6,2025-06-03 04:45:54
13086,2025,SWE.1,994,223140,13,0,3,11,2,0,1,0,0,0,4,0,0,0,12,2025-06-03 04:45:51
