seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13135,2025,USA.1,21300,5289,16,1,25,36,3,0,0,1,2,18,35,6,0,1,21,2025-06-03 04:44:07
13135,2025,USA.1,21300,6746,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2025-06-03 04:44:07
13135,2025,USA.1,21300,7567,17,0,15,18,4,0,0,2,5,2,9,1,0,8,27,2025-06-03 04:44:07
13135,2025,USA.1,6077,17478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:44:10
13135,2025,USA.1,9723,29447,7,4,1,5,1,0,0,0,1,0,0,0,0,2,5,2025-06-03 04:44:14
13135,2025,USA.1,18267,42583,11,3,5,7,2,1,0,0,3,1,6,0,0,12,10,2025-06-03 04:44:09
13135,2025,USA.1,18966,43372,14,0,1,0,0,0,0,0,3,0,0,0,128,31,16,2025-06-03 04:44:11
13135,2025,USA.1,20232,45843,13,1,5,22,3,0,0,7,7,25,64,10,0,0,21,2025-06-03 04:44:10
13135,2025,USA.1,18418,48128,16,0,16,25,1,0,0,3,6,14,38,3,0,1,28,2025-06-03 04:44:06
13135,2025,USA.1,18418,56935,17,0,0,3,1,0,0,0,1,0,0,0,149,64,30,2025-06-03 04:44:06
13135,2025,USA.1,6077,65434,9,0,0,2,0,0,0,0,0,0,0,0,65,24,13,2025-06-03 04:44:10
13135,2025,USA.1,184,66579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-07 04:51:53
13135,2025,USA.1,21812,67671,6,4,2,0,0,0,0,0,0,0,1,0,0,2,4,2025-06-03 04:44:16
13135,2025,USA.1,17606,70624,17,0,15,33,2,0,0,2,2,3,18,1,0,0,15,2025-06-03 04:44:12
13135,2025,USA.1,9723,71042,11,5,20,7,2,0,0,0,0,0,2,0,0,5,13,2025-06-03 04:44:14
13135,2025,USA.1,191,73200,16,1,24,14,2,0,0,7,5,7,21,4,0,0,27,2025-06-03 04:44:15
13135,2025,USA.1,18267,75574,5,5,0,2,0,0,0,0,3,1,4,0,0,0,3,2025-06-03 04:44:09
13135,2025,USA.1,4771,82716,7,4,6,1,0,0,0,0,0,1,5,0,0,1,9,2025-06-03 04:44:14
13135,2025,USA.1,18267,86436,15,1,20,16,3,0,0,6,4,22,53,7,0,2,22,2025-06-03 04:44:09
13135,2025,USA.1,9720,87387,14,3,17,10,3,0,0,0,1,0,1,0,0,0,23,2025-06-03 04:44:07
13135,2025,USA.1,18966,88965,9,4,3,7,0,0,0,1,3,5,13,2,0,1,10,2025-06-03 04:44:11
