seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13095,2025,USA.USL.1,18446,24020,10,0,15,13,3,0,0,0,0,3,14,0,0,0,7,2025-06-03 04:45:13
13095,2025,USA.USL.1,17361,29517,6,4,1,2,0,0,0,1,0,1,4,0,0,0,4,2025-06-03 04:45:20
13095,2025,USA.USL.1,18455,34394,3,1,0,1,0,0,0,0,0,1,1,0,0,0,4,2025-06-03 04:45:17
13095,2025,USA.USL.1,19405,45702,5,3,2,5,0,0,0,1,0,0,1,0,0,0,3,2025-06-03 04:45:11
13095,2025,USA.USL.1,9729,66579,3,0,1,2,1,0,0,0,0,0,0,0,0,0,2,2025-06-03 04:45:11
13095,2025,USA.USL.1,18159,76914,7,1,5,7,3,0,0,1,0,3,8,0,0,0,8,2025-06-03 04:45:15
13095,2025,USA.USL.1,19179,77002,8,0,0,2,0,0,0,0,0,0,0,0,0,14,10,2025-06-03 04:45:12
13095,2025,USA.USL.1,20687,80925,10,1,26,19,0,0,0,3,0,10,20,3,0,0,16,2025-06-03 04:45:17
13095,2025,USA.USL.1,19407,82287,11,2,7,31,0,0,0,2,0,11,24,9,0,0,9,2025-06-03 04:45:12
13095,2025,USA.USL.1,18265,87581,5,2,2,1,1,0,0,0,0,0,1,0,0,0,5,2025-06-03 04:45:19
13095,2025,USA.USL.1,17827,89102,6,5,7,3,1,0,0,0,0,1,7,1,0,0,3,2025-06-03 04:45:18
13095,2025,USA.USL.1,18265,92410,5,2,5,6,0,0,1,0,0,1,3,1,0,0,5,2025-06-03 04:45:19
13095,2025,USA.USL.1,19405,93084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:11
13095,2025,USA.USL.1,19407,102091,11,3,12,25,0,0,0,3,0,4,10,1,0,0,11,2025-06-03 04:45:12
13095,2025,USA.USL.1,17828,103806,7,5,4,7,1,0,0,1,0,3,8,0,0,0,4,2025-06-03 04:45:19
13095,2025,USA.USL.1,19179,104223,10,1,14,15,2,0,0,1,0,1,7,0,0,0,10,2025-06-03 04:45:12
13095,2025,USA.USL.1,17828,108222,8,1,8,5,2,0,0,0,0,2,15,0,0,0,8,2025-06-03 04:45:19
13095,2025,USA.USL.1,22164,111864,10,0,11,14,1,0,0,1,0,11,26,1,0,0,10,2025-06-03 04:45:18
13095,2025,USA.USL.1,19407,112829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:12
13095,2025,USA.USL.1,9729,113439,9,1,7,6,1,0,0,1,0,0,4,0,0,0,8,2025-06-03 04:45:11
13095,2025,USA.USL.1,20687,120224,7,4,2,2,1,0,0,0,0,0,0,0,0,0,10,2025-06-03 04:45:17
13095,2025,USA.USL.1,19179,123674,10,2,11,5,0,0,0,1,0,4,12,1,0,0,9,2025-06-03 04:45:12
13095,2025,USA.USL.1,19407,126244,5,5,2,4,1,1,0,1,0,1,3,0,0,0,3,2025-06-03 04:45:12
13095,2025,USA.USL.1,17827,126416,10,0,19,14,3,0,0,0,0,5,14,3,0,0,10,2025-06-03 04:45:18
13095,2025,USA.USL.1,17361,128065,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-06-03 04:45:20
13095,2025,USA.USL.1,17828,135017,9,4,30,20,1,0,0,2,0,4,12,3,0,0,6,2025-06-03 04:45:19
13095,2025,USA.USL.1,17828,137458,5,2,6,4,2,0,0,0,0,1,3,1,0,0,3,2025-06-03 04:45:19
13095,2025,USA.USL.1,18446,141815,10,1,13,16,3,0,0,0,0,0,11,0,0,0,5,2025-06-03 04:45:13
13095,2025,USA.USL.1,18265,146370,8,3,10,10,0,0,0,0,0,3,10,0,0,0,4,2025-06-03 04:45:19
13095,2025,USA.USL.1,18159,146406,7,0,0,2,1,0,0,0,0,0,0,0,0,21,11,2025-06-03 04:45:15
13095,2025,USA.USL.1,20687,146638,2,1,0,0,0,0,0,0,0,0,0,0,0,2,5,2025-06-03 04:45:17
13095,2025,USA.USL.1,21370,146667,6,3,5,1,1,0,0,1,0,1,6,0,0,0,4,2025-06-03 04:45:16
13095,2025,USA.USL.1,17360,150681,9,0,17,9,4,0,0,1,0,1,3,0,0,0,20,2025-06-03 04:45:14
13095,2025,USA.USL.1,18455,152649,10,0,12,21,4,0,0,0,0,3,10,1,0,0,17,2025-06-03 04:45:17
13095,2025,USA.USL.1,21370,156322,4,3,3,0,1,0,0,0,0,0,3,0,0,0,3,2025-06-03 04:45:16
13095,2025,USA.USL.1,18265,157147,11,0,0,2,1,0,0,0,0,0,0,0,0,25,16,2025-06-03 04:45:19
13095,2025,USA.USL.1,17832,157164,4,2,7,5,1,0,0,0,0,1,3,0,0,0,6,2025-06-03 04:45:15
13095,2025,USA.USL.1,21822,157164,4,2,7,5,1,0,0,0,0,1,3,0,0,0,6,2025-05-24 04:55:43
13095,2025,USA.USL.1,17830,157992,4,1,4,1,1,0,0,1,0,0,1,0,0,0,3,2025-06-03 04:45:12
13095,2025,USA.USL.1,17360,159298,4,4,6,3,0,0,0,0,0,2,7,2,0,0,5,2025-06-03 04:45:14
13095,2025,USA.USL.1,19405,159387,7,1,3,5,1,0,0,0,0,2,8,1,0,0,5,2025-06-03 04:45:11
13095,2025,USA.USL.1,19179,159398,10,1,9,6,3,0,0,2,0,3,10,1,0,0,11,2025-06-03 04:45:12
13095,2025,USA.USL.1,20687,159476,10,0,0,7,1,0,0,0,0,0,0,0,0,28,17,2025-06-03 04:45:17
13095,2025,USA.USL.1,21370,159481,7,3,2,4,1,0,0,1,0,0,5,0,0,0,6,2025-06-03 04:45:16
13095,2025,USA.USL.1,17850,160022,8,0,0,0,0,0,0,0,0,0,0,0,0,18,11,2025-06-03 04:45:18
13095,2025,USA.USL.1,17850,163216,5,2,2,1,0,0,0,0,0,1,1,1,0,0,7,2025-06-03 04:45:18
13095,2025,USA.USL.1,21370,168260,12,1,7,10,2,0,0,0,0,1,2,1,0,0,9,2025-06-03 04:45:16
13095,2025,USA.USL.1,18987,170229,11,4,7,8,0,0,0,0,0,2,4,1,0,0,8,2025-06-03 04:45:14
13095,2025,USA.USL.1,19408,170639,9,0,1,1,0,1,0,0,0,0,0,0,0,24,8,2025-06-03 04:45:16
13095,2025,USA.USL.1,19405,171796,9,0,20,15,2,0,0,0,0,2,13,1,0,0,12,2025-06-03 04:45:11
13095,2025,USA.USL.1,18159,172280,9,2,12,3,3,0,0,1,0,4,11,1,0,0,9,2025-06-03 04:45:15
13095,2025,USA.USL.1,19407,177149,9,1,12,5,4,0,0,1,0,4,8,1,0,0,11,2025-06-03 04:45:12
13095,2025,USA.USL.1,19410,177694,6,1,8,12,4,0,0,1,0,1,8,0,0,0,4,2025-06-03 04:45:15
13095,2025,USA.USL.1,17361,178264,10,1,18,14,2,0,0,0,0,7,27,1,0,0,15,2025-06-03 04:45:20
13095,2025,USA.USL.1,17360,181725,9,0,17,18,2,0,0,1,0,8,24,2,0,0,20,2025-06-03 04:45:14
13095,2025,USA.USL.1,19407,183750,11,0,22,20,3,0,0,3,0,9,26,4,0,0,14,2025-06-03 04:45:12
13095,2025,USA.USL.1,17361,183797,6,2,10,6,0,0,0,1,0,3,6,1,0,0,11,2025-06-03 04:45:20
13095,2025,USA.USL.1,19405,184218,10,0,0,4,1,0,0,0,0,0,0,0,0,32,15,2025-06-03 04:45:11
13095,2025,USA.USL.1,18265,186444,11,1,12,12,2,0,0,2,0,5,21,1,0,0,13,2025-06-03 04:45:19
13095,2025,USA.USL.1,19407,188112,7,6,5,4,0,0,0,0,0,1,4,0,0,0,2,2025-06-03 04:45:12
13095,2025,USA.USL.1,9725,188911,5,0,9,8,1,0,0,0,0,0,1,0,0,0,4,2025-06-03 04:45:17
13095,2025,USA.USL.1,9729,189977,7,5,9,8,0,0,0,0,0,0,0,0,0,0,5,2025-06-03 04:45:11
13095,2025,USA.USL.1,17850,191170,10,5,6,7,1,0,0,0,0,1,7,0,0,0,8,2025-06-03 04:45:18
13095,2025,USA.USL.1,17360,191420,5,0,9,3,1,1,0,0,0,0,0,0,0,0,6,2025-06-03 04:45:14
13095,2025,USA.USL.1,17360,191483,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-06-03 04:45:14
13095,2025,USA.USL.1,19408,192048,8,3,17,3,4,0,0,0,0,0,1,0,0,0,3,2025-06-03 04:45:16
13095,2025,USA.USL.1,18159,194159,2,2,1,3,0,0,0,0,0,3,5,1,0,0,0,2025-06-03 04:45:15
13095,2025,USA.USL.1,18987,195233,5,0,6,1,1,0,0,0,0,1,1,0,0,0,7,2025-06-03 04:45:14
13095,2025,USA.USL.1,18159,196760,4,4,1,3,2,0,0,0,0,1,1,0,0,0,0,2025-06-03 04:45:15
13095,2025,USA.USL.1,19411,200844,7,0,11,9,3,0,0,0,0,0,3,0,0,0,9,2025-06-03 04:45:13
13095,2025,USA.USL.1,19405,201491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:11
13095,2025,USA.USL.1,17360,201508,9,0,14,7,2,0,0,4,0,3,10,2,0,0,19,2025-06-03 04:45:14
13095,2025,USA.USL.1,17828,202672,8,0,9,20,2,0,0,1,0,3,7,2,0,0,6,2025-06-03 04:45:19
13095,2025,USA.USL.1,22164,202751,10,0,0,1,0,0,0,0,0,0,0,0,0,21,10,2025-06-03 04:45:18
13095,2025,USA.USL.1,18446,203858,6,5,10,0,1,0,0,0,0,1,1,0,0,0,2,2025-06-03 04:45:13
13095,2025,USA.USL.1,9729,205657,4,4,1,0,0,0,0,1,0,1,4,0,0,0,1,2025-06-03 04:45:11
13095,2025,USA.USL.1,17361,206616,9,0,0,0,0,0,0,0,0,0,0,0,0,24,17,2025-06-03 04:45:20
13095,2025,USA.USL.1,19408,207021,5,0,5,1,1,0,0,0,0,7,9,3,0,0,4,2025-06-03 04:45:16
13095,2025,USA.USL.1,21370,208370,7,3,4,3,1,0,0,1,0,2,3,0,0,0,6,2025-06-03 04:45:16
13095,2025,USA.USL.1,20687,212484,8,4,7,0,3,0,0,1,0,3,4,1,0,0,10,2025-06-03 04:45:17
13095,2025,USA.USL.1,9725,216997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:17
13095,2025,USA.USL.1,9725,217000,7,2,9,2,0,0,0,0,0,1,2,1,0,0,7,2025-06-03 04:45:17
13095,2025,USA.USL.1,21822,217004,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-04-09 05:06:58
13095,2025,USA.USL.1,19405,217008,5,0,7,2,1,0,0,0,0,1,1,1,0,0,7,2025-06-03 04:45:11
13095,2025,USA.USL.1,18265,217082,11,1,19,4,2,0,0,1,0,1,9,0,0,0,13,2025-06-03 04:45:19
13095,2025,USA.USL.1,17832,217145,10,5,7,12,1,0,0,1,0,3,6,1,0,0,1,2025-06-03 04:45:15
13095,2025,USA.USL.1,19408,217260,9,0,8,10,1,1,0,0,0,0,5,0,0,0,5,2025-06-03 04:45:16
13095,2025,USA.USL.1,19411,217985,8,6,7,7,0,0,0,0,0,6,14,3,0,0,6,2025-06-03 04:45:13
13095,2025,USA.USL.1,9725,217997,6,2,7,8,0,0,0,1,0,6,13,1,0,0,8,2025-06-03 04:45:17
13095,2025,USA.USL.1,22164,218846,9,4,10,6,2,1,0,0,0,1,4,1,0,0,4,2025-06-03 04:45:18
13095,2025,USA.USL.1,19411,220237,4,0,9,3,1,1,0,0,0,0,1,0,0,0,8,2025-06-03 04:45:13
13095,2025,USA.USL.1,17832,220387,10,0,15,5,0,0,0,1,0,1,3,1,0,0,5,2025-06-03 04:45:15
13095,2025,USA.USL.1,17832,220435,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-06-03 04:45:15
13095,2025,USA.USL.1,19179,220469,7,6,6,2,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:12
13095,2025,USA.USL.1,17361,220502,6,0,5,6,3,0,0,0,0,1,1,0,0,0,13,2025-06-03 04:45:20
13095,2025,USA.USL.1,17830,220523,11,6,7,8,1,0,0,1,0,7,13,5,0,0,12,2025-06-03 04:45:12
13095,2025,USA.USL.1,9725,220528,10,0,0,1,0,0,0,0,0,0,0,0,0,29,11,2025-06-03 04:45:17
13095,2025,USA.USL.1,17828,220566,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:19
13095,2025,USA.USL.1,17828,220685,4,0,2,2,2,0,0,0,0,0,3,0,0,0,2,2025-06-03 04:45:19
13095,2025,USA.USL.1,18159,222778,9,0,10,10,0,0,0,0,0,1,3,0,0,0,14,2025-06-03 04:45:15
13095,2025,USA.USL.1,21822,222782,9,0,3,3,2,0,0,0,0,2,5,0,0,0,13,2025-06-03 04:45:14
13095,2025,USA.USL.1,17360,222806,9,0,9,10,2,0,0,0,0,3,6,0,0,0,20,2025-06-03 04:45:14
13095,2025,USA.USL.1,19179,223443,7,2,10,16,3,0,0,0,0,1,3,0,0,0,6,2025-06-03 04:45:12
13095,2025,USA.USL.1,20687,225503,10,3,7,15,0,0,0,1,0,2,7,0,0,0,15,2025-06-03 04:45:17
13095,2025,USA.USL.1,19408,225606,9,5,6,6,2,0,0,1,0,5,8,2,0,0,4,2025-06-03 04:45:16
13095,2025,USA.USL.1,19407,225610,10,1,3,10,2,0,0,0,0,4,14,1,0,0,10,2025-06-03 04:45:12
13095,2025,USA.USL.1,21822,225613,6,1,2,3,0,0,0,0,0,0,1,0,0,0,8,2025-06-03 04:45:14
13095,2025,USA.USL.1,19410,225614,10,0,13,5,1,0,0,0,0,1,7,0,0,0,10,2025-06-03 04:45:15
13095,2025,USA.USL.1,20687,226127,10,0,10,14,4,0,0,0,0,0,1,0,0,0,18,2025-06-03 04:45:17
13095,2025,USA.USL.1,17361,227437,10,0,18,6,5,0,0,0,0,7,20,1,0,0,17,2025-06-03 04:45:20
13095,2025,USA.USL.1,21822,227598,8,1,19,13,1,0,0,0,0,4,12,2,0,0,6,2025-06-03 04:45:14
13095,2025,USA.USL.1,17360,227600,9,0,7,16,1,0,0,2,0,4,15,1,0,0,18,2025-06-03 04:45:14
13095,2025,USA.USL.1,17830,228348,5,0,1,1,1,1,0,0,0,0,0,0,0,15,9,2025-05-24 04:55:39
13095,2025,USA.USL.1,19411,229432,6,1,3,4,0,0,0,0,0,0,4,0,0,0,6,2025-06-03 04:45:13
13095,2025,USA.USL.1,18446,229863,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:13
13095,2025,USA.USL.1,17828,230600,7,0,8,9,0,0,0,2,0,7,13,3,0,0,9,2025-06-03 04:45:19
13095,2025,USA.USL.1,19179,230629,9,2,10,4,1,0,0,1,0,0,1,0,0,0,7,2025-06-03 04:45:12
13095,2025,USA.USL.1,18265,231065,11,0,19,11,5,0,0,1,0,2,9,1,0,0,16,2025-06-03 04:45:19
