seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13102,2025,USA.USL.L1.CUP,20000,3400,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:49:26
13102,2025,USA.USL.L1.CUP,20000,6477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:26
13102,2025,USA.USL.L1.CUP,19995,23425,2,0,3,6,2,0,0,0,0,1,3,0,0,0,3,2025-06-03 04:49:28
13102,2025,USA.USL.L1.CUP,18446,24020,2,0,4,3,2,0,0,1,0,0,5,0,0,0,4,2025-06-03 04:49:28
13102,2025,USA.USL.L1.CUP,17361,29517,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:49:37
13102,2025,USA.USL.L1.CUP,22524,38846,2,1,5,3,2,0,0,0,0,2,2,1,0,0,6,2025-06-03 04:49:38
13102,2025,USA.USL.L1.CUP,19405,45702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:25
13102,2025,USA.USL.L1.CUP,9729,66579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:25
13102,2025,USA.USL.L1.CUP,18159,76914,2,0,4,0,0,0,0,0,0,1,3,1,0,0,5,2025-06-03 04:49:31
13102,2025,USA.USL.L1.CUP,19179,77002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:27
13102,2025,USA.USL.L1.CUP,20687,80925,2,1,2,1,0,0,0,0,0,1,2,1,0,0,3,2025-06-03 04:49:33
13102,2025,USA.USL.L1.CUP,19407,82287,2,2,3,8,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:27
13102,2025,USA.USL.L1.CUP,18159,84144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:31
13102,2025,USA.USL.L1.CUP,18265,87581,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:36
13102,2025,USA.USL.L1.CUP,17827,89102,2,2,0,0,0,0,0,0,0,1,3,0,0,0,1,2025-06-03 04:49:34
13102,2025,USA.USL.L1.CUP,18265,92410,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:36
13102,2025,USA.USL.L1.CUP,19405,93084,2,0,0,2,1,0,0,0,0,0,0,0,0,2,2,2025-06-03 04:49:25
13102,2025,USA.USL.L1.CUP,22526,95831,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:25
13102,2025,USA.USL.L1.CUP,17828,103806,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-06-03 04:49:35
13102,2025,USA.USL.L1.CUP,19179,104223,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:49:27
13102,2025,USA.USL.L1.CUP,17828,108222,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-06-03 04:49:35
13102,2025,USA.USL.L1.CUP,17545,111009,2,0,0,1,0,0,0,0,0,0,0,0,0,8,5,2025-06-03 04:49:35
