seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13099,2025,USA.USL.L1,20000,3400,7,5,3,5,0,0,0,0,0,0,1,0,0,0,3,2025-06-03 04:45:21
13099,2025,USA.USL.L1,20000,6477,7,0,0,1,0,0,0,0,0,0,0,0,0,9,7,2025-06-03 04:45:21
13099,2025,USA.USL.L1,19995,23425,8,3,13,12,3,0,0,0,0,3,9,0,0,0,6,2025-06-03 04:45:22
13099,2025,USA.USL.L1,22524,38846,8,0,9,6,3,0,0,0,0,2,5,1,0,0,15,2025-06-03 04:45:25
13099,2025,USA.USL.L1,22526,95831,2,0,0,2,0,0,0,0,0,0,1,0,0,0,3,2025-06-03 04:45:20
13099,2025,USA.USL.L1,17545,111009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:23
13099,2025,USA.USL.L1,20000,116861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-03 04:45:21
13099,2025,USA.USL.L1,19964,121216,9,1,20,7,4,0,0,1,0,13,23,5,0,0,11,2025-06-03 04:45:22
13099,2025,USA.USL.L1,20684,128060,7,2,5,8,0,0,0,0,0,3,10,2,0,0,9,2025-06-03 04:45:25
13099,2025,USA.USL.L1,22526,133285,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:20
13099,2025,USA.USL.L1,22524,139450,2,0,2,4,0,0,0,0,0,0,0,0,0,0,4,2025-06-03 04:45:25
13099,2025,USA.USL.L1,21821,144441,3,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-06-03 04:45:23
13099,2025,USA.USL.L1,22524,145151,7,1,11,1,3,1,0,0,0,1,3,0,0,0,12,2025-06-03 04:45:25
13099,2025,USA.USL.L1,22525,145377,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-03 04:45:21
13099,2025,USA.USL.L1,22130,146469,9,0,2,5,1,0,0,0,0,7,16,3,0,0,6,2025-06-03 04:45:24
13099,2025,USA.USL.L1,19181,150495,5,5,0,3,0,0,0,0,0,1,2,0,0,0,1,2025-06-03 04:45:24
13099,2025,USA.USL.L1,22130,159305,9,0,2,6,1,0,0,1,0,2,9,0,0,0,5,2025-06-03 04:45:24
13099,2025,USA.USL.L1,17545,159576,10,3,8,15,1,0,0,0,0,11,27,2,0,0,12,2025-06-03 04:45:23
13099,2025,USA.USL.L1,19964,171649,9,0,9,12,3,0,0,0,0,1,3,0,0,0,11,2025-06-03 04:45:22
13099,2025,USA.USL.L1,22524,171687,5,3,3,1,0,0,0,0,0,0,1,0,0,0,4,2025-06-03 04:45:25
13099,2025,USA.USL.L1,19964,171799,7,3,6,12,0,0,0,0,0,3,5,1,0,0,5,2025-06-03 04:45:22
13099,2025,USA.USL.L1,22527,173602,8,1,5,8,2,0,0,1,0,4,9,2,0,0,14,2025-06-03 04:45:24
13099,2025,USA.USL.L1,22528,183747,7,2,8,2,3,0,0,0,0,0,2,0,0,0,5,2025-06-03 04:45:23
13099,2025,USA.USL.L1,22528,183800,3,2,1,3,0,0,0,0,0,0,1,0,0,0,1,2025-06-03 04:45:23
