seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13145,727692,1,45308909,70,Kasper Waarst Høgh (Bodo/Glimt) Goal at 4',Kasper Waarst Høgh Goal,1,240,4',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,272624,Kasper Waarst Høgh,2025-05-28 04:50:34
13145,727692,2,45308970,94,Patrick Berg (Bodo/Glimt) Yellow Card at 9',Patrick Berg Yellow Card,1,540,9',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,205924,Patrick Berg,2025-05-28 04:50:34
13145,727692,3,45309017,70,Ole Didrik Blomberg (Bodo/Glimt) Goal at 18',Ole Didrik Blomberg Goal,1,1080,18',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,307798,Ole Didrik Blomberg,2025-05-28 04:50:34
13145,727692,4,45309166,70,Ole Didrik Blomberg (Bodo/Glimt) Goal at 39',Ole Didrik Blomberg Goal,1,2340,39',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,307798,Ole Didrik Blomberg,2025-05-28 04:50:34
13145,727692,5,45309339,76,Ole Christian Saeter (Rosenborg) Substitution at 45',Ole Christian Saeter Substitutio,2,2700,45',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312949,Ole Christian Saeter,2025-05-28 04:50:34
13145,727692,5,45309339,76,Ole Christian Saeter (Rosenborg) Substitution at 45',Ole Christian Saeter Substitutio,2,2700,45',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,186078,Iver Fossum,2025-05-28 04:50:34
13145,727692,6,45309399,70,Ulrik Saltnes (Bodo/Glimt) Goal at 52',Ulrik Saltnes Goal,2,3120,52',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,203670,Ulrik Saltnes,2025-05-28 04:50:34
13145,727692,7,45309458,94,Fredrik Sjøvold (Bodo/Glimt) Yellow Card at 57',Fredrik Sjøvold Yellow Card,2,3420,57',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,333755,Fredrik Sjøvold,2025-05-28 04:50:34
13145,727692,8,45309536,76,Sondre Auklend (Bodo/Glimt) Substitution at 68',Sondre Auklend Substitution,2,4080,68',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303740,Sondre Auklend,2025-05-28 04:50:34
13145,727692,9,45309551,76,Isak Dybvik Määttä (Bodo/Glimt) Substitution at 68',Isak Dybvik Määttä Substitution,2,4080,68',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,302019,Isak Dybvik Määttä,2025-05-28 04:50:34
13145,727692,8,45309536,76,Sondre Auklend (Bodo/Glimt) Substitution at 68',Sondre Auklend Substitution,2,4080,68',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,271088,Hakon Evjen,2025-05-28 04:50:34
13145,727692,9,45309551,76,Isak Dybvik Määttä (Bodo/Glimt) Substitution at 68',Isak Dybvik Määttä Substitution,2,4080,68',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,235789,Jens Hauge,2025-05-28 04:50:34
13145,727692,10,45309566,94,Emil Konradsen Ceide (Rosenborg) Yellow Card at 70',Emil Konradsen Ceide Yellow Card,2,4200,70',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,275113,Emil Konradsen Ceide,2025-05-28 04:50:34
13145,727692,11,45309599,76,Andreas Helmersen (Bodo/Glimt) Substitution at 76',Andreas Helmersen Substitution,2,4560,76',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,218561,Andreas Helmersen,2025-05-28 04:50:34
13145,727692,11,45309599,76,Andreas Helmersen (Bodo/Glimt) Substitution at 76',Andreas Helmersen Substitution,2,4560,76',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,272624,Kasper Waarst Høgh,2025-05-28 04:50:34
13145,727692,12,45309623,76,Moustafa Zeidan (Rosenborg) Substitution at 79',Moustafa Zeidan Substitution,2,4740,79',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,238428,Moustafa Zeidan,2025-05-28 04:50:34
13145,727692,12,45309623,76,Moustafa Zeidan (Rosenborg) Substitution at 79',Moustafa Zeidan Substitution,2,4740,79',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334109,Sverre Nypan,2025-05-28 04:50:34
13145,727692,13,45309683,76,Jeppe Kjaer Jensen (Bodo/Glimt) Substitution at 82',Jeppe Kjaer Jensen Substitution,2,4920,82',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,305758,Jeppe Kjaer Jensen,2025-05-28 04:50:34
13145,727692,14,45309684,76,Odin Bjortuft (Bodo/Glimt) Substitution at 82',Odin Bjortuft Substitution,2,4920,82',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,269732,Odin Bjortuft,2025-05-28 04:50:34
13145,727692,13,45309683,76,Jeppe Kjaer Jensen (Bodo/Glimt) Substitution at 82',Jeppe Kjaer Jensen Substitution,2,4920,82',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,203670,Ulrik Saltnes,2025-05-28 04:50:34
13145,727692,14,45309684,76,Odin Bjortuft (Bodo/Glimt) Substitution at 82',Odin Bjortuft Substitution,2,4920,82',2980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,176883,Haitam Aleesami,2025-05-28 04:50:34
13145,727692,15,45309685,76,Isak Thorvaldsson (Rosenborg) Substitution at 83',Isak Thorvaldsson Substitution,2,4980,83',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,295807,Isak Thorvaldsson,2025-05-28 04:50:34
13145,727692,15,45309685,76,Isak Thorvaldsson (Rosenborg) Substitution at 83',Isak Thorvaldsson Substitution,2,4980,83',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,277007,Noah Jean Holm,2025-05-28 04:50:34
13145,727692,16,45309704,76,Ulrik Jenssen (Rosenborg) Substitution at 86',Ulrik Jenssen Substitution,2,5160,86',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222439,Ulrik Jenssen,2025-05-28 04:50:34
13145,727692,16,45309704,76,Ulrik Jenssen (Rosenborg) Substitution at 86',Ulrik Jenssen Substitution,2,5160,86',438,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,304964,Tomas Nemcik,2025-05-28 04:50:34
13145,727694,1,45317538,70,Evangelos Patoulidis (Sandefjord) Goal at 17',Evangelos Patoulidis Goal,1,1020,17',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,277057,Evangelos Patoulidis,2025-05-28 04:50:34
13145,727694,2,45318146,70,Darrell Tibell (Sandefjord) Goal at 46',Darrell Tibell Goal,1,2700,45'+1',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316022,Darrell Tibell,2025-05-28 04:50:34
13145,727694,3,45318301,76,Fredrik Ardraa (Stromsgodset) Substitution at 45',Fredrik Ardraa Substitution,2,2700,45',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,383882,Fredrik Ardraa,2025-05-28 04:50:34
13145,727694,3,45318301,76,Fredrik Ardraa (Stromsgodset) Substitution at 45',Fredrik Ardraa Substitution,2,2700,45',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,235135,Marcus Johnson-Mehnert,2025-05-28 04:50:34
13145,727694,4,45318334,70,Jakob Dunsby (Sandefjord) Goal at 49',Jakob Dunsby Goal,2,2940,49',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,290108,Jakob Dunsby,2025-05-28 04:50:34
13145,727694,5,45318422,70,Herman Stengel (Stromsgodset) Goal at 52',Herman Stengel Goal,2,3120,52',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,166628,Herman Stengel,2025-05-28 04:50:34
13145,727694,6,45318652,70,Jonas Therkelsen (Stromsgodset) Goal at 60',Jonas Therkelsen Goal,2,3600,60',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,343805,Jonas Therkelsen,2025-05-28 04:50:34
13145,727694,7,45318705,94,Darrell Tibell (Sandefjord) Yellow Card at 63',Darrell Tibell Yellow Card,2,3780,63',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316022,Darrell Tibell,2025-05-28 04:50:34
13145,727694,8,45318832,94,Sander Mork (Sandefjord) Yellow Card at 68',Sander Mork Yellow Card,2,4080,68',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,281365,Sander Mork,2025-05-28 04:50:34
13145,727694,9,45318952,76,Elias Jemal (Sandefjord) Substitution at 76',Elias Jemal Substitution,2,4560,76',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388439,Elias Jemal,2025-05-28 04:50:34
13145,727694,9,45318952,76,Elias Jemal (Sandefjord) Substitution at 76',Elias Jemal Substitution,2,4560,76',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316022,Darrell Tibell,2025-05-28 04:50:34
13145,727694,10,45319094,76,Samuel Silalahi (Stromsgodset) Substitution at 81',Samuel Silalahi Substitution,2,4860,81',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,352557,Samuel Silalahi,2025-05-28 04:50:34
13145,727694,10,45319094,76,Samuel Silalahi (Stromsgodset) Substitution at 81',Samuel Silalahi Substitution,2,4860,81',9811,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,303103,Kreshnik Krasniqi,2025-05-28 04:50:34
13145,727694,11,45319251,76,Loris Mettler (Sandefjord) Substitution at 89',Loris Mettler Substitution,2,5340,89',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,354454,Loris Mettler,2025-05-28 04:50:34
13145,727694,11,45319251,76,Loris Mettler (Sandefjord) Substitution at 89',Loris Mettler Substitution,2,5340,89',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,379168,Marcus Melchior,2025-05-28 04:50:34
13145,727694,12,45319401,76,Aleksander Van Der Spa (Sandefjord) Substitution at 94',Aleksander Van Der Spa Substitut,2,5400,90'+4',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,362832,Aleksander Van Der Spa,2025-05-28 04:50:34
13145,727694,12,45319401,76,Aleksander Van Der Spa (Sandefjord) Substitution at 94',Aleksander Van Der Spa Substitut,2,5400,90'+4',3279,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,277057,Evangelos Patoulidis,2025-05-28 04:50:34
13145,727695,1,45317754,94,Martin Håheim-Elveseter (Sarpsborg FK) Yellow Card at 28',Martin Håheim-Elveseter Yellow C,1,1680,28',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,390698,Martin Håheim-Elveseter,2025-05-28 04:50:34
13145,727695,2,45318033,94,Alagie Sanyang (Sarpsborg FK) Yellow Card at 39',Alagie Sanyang Yellow Card,1,2340,39',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387783,Alagie Sanyang,2025-05-28 04:50:34
13145,727695,3,45318175,94,David Edvardsson (Tromso) Yellow Card at 46',David Edvardsson Yellow Card,1,2700,45'+1',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312875,David Edvardsson,2025-05-28 04:50:34
13145,727695,4,45318350,76,Peter Reinhardsen (Sarpsborg FK) Substitution at 45',Peter Reinhardsen Substitution,2,2700,45',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,356987,Peter Reinhardsen,2025-05-28 04:50:34
13145,727695,4,45318350,76,Peter Reinhardsen (Sarpsborg FK) Substitution at 45',Peter Reinhardsen Substitution,2,2700,45',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,390698,Martin Håheim-Elveseter,2025-05-28 04:50:34
13145,727695,5,45318709,76,Sander Christiansen (Sarpsborg FK) Substitution at 63',Sander Christiansen Substitution,2,3780,63',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347328,Sander Christiansen,2025-05-28 04:50:34
13145,727695,5,45318709,76,Sander Christiansen (Sarpsborg FK) Substitution at 63',Sander Christiansen Substitution,2,3780,63',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258016,Sveinn Aron Gudjohnsen,2025-05-28 04:50:34
13145,727695,6,45318756,76,Kent-Are Antonsen (Tromso) Substitution at 64',Kent-Are Antonsen Substitution,2,3840,64',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,187920,Kent-Are Antonsen,2025-05-28 04:50:34
13145,727695,7,45318757,76,Ieltsin Camões (Tromso) Substitution at 64',Ieltsin Camões Substitution,2,3840,64',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,400376,Ieltsin Camões,2025-05-31 04:50:33
13145,727695,6,45318756,76,Kent-Are Antonsen (Tromso) Substitution at 64',Kent-Are Antonsen Substitution,2,3840,64',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,312875,David Edvardsson,2025-05-28 04:50:34
13145,727695,7,45318757,76,Ieltsin Camões (Tromso) Substitution at 64',Ieltsin Camões Substitution,2,3840,64',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,285947,August Mikkelsen,2025-05-31 04:50:33
13145,727695,8,45318864,94,Harald Nilsen Tangen (Sarpsborg FK) Yellow Card at 70',Harald Nilsen Tangen Yellow Card,2,4200,70',5002,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,259194,Harald Nilsen Tangen,2025-05-28 04:50:34
13145,727695,9,45318956,70,Ieltsin Camões (Tromso) Goal at 74',Ieltsin Camões Goal,2,4440,74',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,400376,Ieltsin Camões,2025-05-28 04:50:34
13145,727695,10,45319047,76,Yaw Paintsil (Tromso) Substitution at 78',Yaw Paintsil Substitution,2,4680,78',5270,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,358392,Yaw Paintsil,2025-05-28 04:50:34
