Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime,source_file,table_type,team_relation,year,last_matchDateTime,teamRank,teamId,gamesPlayed,wins,ties,losses,points,gf,ga,gd,deductions,clean_sheet,form,next_opponent,next_homeAway,next_matchDateTime,timeStamp,seasonYear,midsizeName,teamName,athleteId,playerDisplayName,jersey,position,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
1.0,12602,5330.0,723147.0,2024-12-15 15:30:00,178.0,49420.0,256.0,257.0,True,False,3.0,3.0,5.0,4.0,47.0,2024-12-16 05:26:11,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,12603,5330.0,721456.0,2024-11-02 17:30:00,178.0,47544.0,256.0,263.0,True,False,6.0,0.0,0.0,0.0,28.0,2024-11-02 20:53:07,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,12604,5330.0,719311.0,2024-09-22 14:00:00,161.0,42960.0,256.0,254.0,True,False,5.0,2.0,0.0,0.0,28.0,2024-09-23 04:21:12,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,12605,5330.0,717329.0,2024-08-18 14:00:00,161.0,47370.0,256.0,258.0,True,False,3.0,1.0,0.0,0.0,28.0,2024-08-21 04:19:17,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,12724,735.0,709926.0,2024-08-04 15:30:00,161.0,58712.0,256.0,260.0,True,False,4.0,0.0,0.0,0.0,28.0,2024-08-07 08:16:38,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,12724,735.0,709940.0,2024-09-01 11:30:00,161.0,59612.0,256.0,257.0,True,False,3.0,0.0,0.0,0.0,28.0,2024-09-02 04:22:20,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,12724,735.0,709947.0,2024-09-14 14:00:00,161.0,58872.0,256.0,262.0,True,False,2.0,0.0,0.0,0.0,28.0,2024-09-19 04:16:09,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,12724,735.0,709964.0,2024-10-19 14:00:00,161.0,58890.0,256.0,263.0,False,False,2.0,2.0,0.0,0.0,28.0,2024-10-22 22:39:04,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,12724,735.0,709977.0,2024-10-30 19:45:00,161.0,58751.0,256.0,261.0,True,False,2.0,0.0,0.0,0.0,28.0,2024-11-02 13:57:36,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,12724,735.0,710000.0,2024-11-30 15:00:00,161.0,58436.0,256.0,251.0,True,False,5.0,0.0,0.0,0.0,28.0,2024-12-03 05:25:29,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,12724,735.0,710013.0,2024-12-07 15:00:00,161.0,58641.0,256.0,258.0,True,False,3.0,0.0,0.0,0.0,28.0,2025-04-05 06:21:28,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,12724,735.0,710033.0,2024-12-26 15:00:00,161.0,58687.0,256.0,266.0,True,False,4.0,0.0,0.0,0.0,28.0,2024-12-27 05:20:43,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,12724,735.0,710041.0,2024-12-29 15:00:00,161.0,58645.0,256.0,267.0,True,False,4.0,0.0,0.0,0.0,28.0,2024-12-31 05:18:07,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,12724,735.0,710048.0,2025-01-05 15:00:00,161.0,58838.0,256.0,250.0,True,False,3.0,0.0,0.0,0.0,28.0,2025-01-07 05:17:26,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,12724,735.0,709982.0,2025-01-08 19:45:00,161.0,58460.0,256.0,264.0,True,False,2.0,0.0,0.0,0.0,28.0,2025-01-28 14:17:09,fixtures.csv,fixtures,homeTeamId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
